Station Name,Company Name,Fuel,Installed Capacity (MW),Year of commission or year generation began,Location,Technology,Geolocation,x,y
Drax,Drax Power Ltd,Coal,3870,1974,Yorkshire and the Humber,coal/biomass,"53.735281, -0.991969",-0.991969,53.735281
Ratcliffe,,Coal,2000,1968,East Midlands,coal,"52.865297, -1.255",-1.255,52.865297
Cottam,,Coal,2008,1969,East Midlands,coal,"53.303906, -0.781406",-0.781406,53.303906
West Burton,,Coal,2012,1967,East Midlands,coal,"53.3622, -0.8076",-0.8076,53.3622
Eggborough,Eggborough Power Ltd,Coal,1960,1967,Yorkshire and the Humber,coal,"53.711667, -1.126956",-1.126956,53.711667
Rugeley ,,Coal,1006,1972,West Midlands,coal,"52.756882, -1.918463",-1.918463,52.756882
Lynemouth,Lynemouth Power Ltd (14),Coal,420,1972,North East,coal,"55.204139, -1.522242",-1.522242,55.204139
Aberthaw B,,Coal,1586,1971,Wales,coal,"51.387222, -3.405",-3.405,51.387222
Longannet,,Coal,2260,1970,Scotland,coal,"56.048176, -3.682464",-3.682464,56.048176
Dungeness B,British Energy (6),Nuclear,1040,1983,South East,nuclear,"50.913958, 0.96385",0.96385,50.913958
Hartlepool,,Nuclear,1180,1984,North East,nuclear,"54.634983, -1.180856",-1.180856,54.634983
Heysham 1,,Nuclear,1155,1984,North West,nuclear,"54.028886, -2.916089",-2.916089,54.028886
Heysham 2,,Nuclear,1220,1988,North West,nuclear,"54.028886, -2.916089",-2.916089,54.028886
Hinkley Point B,,Nuclear,945,1976,South West,nuclear,"51.209217, -3.127464",-3.127464,51.209217
Hunterston B,,Nuclear,960,1976,Scotland,nuclear,"55.721849, -4.894551",-4.894551,55.721849
Sizewell B,,Nuclear,1198,1995,East,nuclear,"52.215036, 1.619667",1.619667,52.215036
Torness,,Nuclear,1185,1988,Scotland,nuclear,"55.967327, -2.408485",-2.408485,55.967327
Wylfa,,Nuclear,490,1971,Wales,nuclear,"53.416667, -4.483333",-4.483333,53.416667
Baglan Bay,Baglan Generation Ltd,Natural Gas,510,2002,Wales,CCGT,"51.619735, -3.829637",-3.829637,51.619735
Barking,Barking Power (3),Natural Gas,1000,1994,London,CCGT,"51.521, 0.147",0.147,51.521
Barry (9),Centrica,Natural Gas,140,1998,Wales,CCGT,"51.408056, -3.228611",-3.228611,51.408056
Glanford Brigg (9),,Natural Gas,150,1993,Yorkshire and the Humber,CCGT,"53.540564, -0.503636",-0.503636,53.540564
Killingholme,,Natural Gas,665,1994,Yorkshire and the Humber,CCGT,"53.65952, -0.25511",-0.25511,53.65952
Langage,,Natural Gas,905,2010,South West,CCGT,"50.3884, -4.011611",-4.011611,50.3884
Peterborough (9),,Natural Gas,240,1993,East,CCGT,"52.576975, -0.203917",-0.203917,52.576975
South Humber Bank ,,Natural Gas,1310,1996,Yorkshire and the Humber,CCGT,"53.603, -0.146",-0.146,53.603
Corby,Corby Power Ltd,Natural Gas,401,1993,East Midlands,CCGT,"52.503642, -0.704175",-0.704175,52.503642
Severn,Dong Energy,Natural Gas,848,2010,Wales,CCGT,"51.549071, -2.970539",-2.970539,51.549071
Castleford,,Natural Gas,56,2002,Yorkshire and the Humber,CCGT,"53.7320, -1.3428",-1.3428,53.732
Connahs Quay,,Natural Gas,1380,1996,Wales,CCGT,"53.232222, -3.081389",-3.081389,53.232222
Cottam Development Centre,,Natural Gas,395,1999,East Midlands,CCGT,"53.303906, -0.781406",-0.781406,53.303906
Enfield,,Natural Gas,408,1999,London,CCGT,"51.662831, -0.022797",-0.022797,51.662831
Grain,,Natural Gas,1365,2010,South East,CCGT,"51.445181, 0.715028",0.715028,51.445181
Sandbach,,Natural Gas,56,1999,North West,CCGT,"53.1654, -2.4061",-2.4061,53.1654
Thornhill,,Natural Gas,50,1998,Yorkshire and the Humber,CCGT,"53.6771, -1.6550",-1.655,53.6771
West Burton CCGT,EDF Energy,Natural Gas,1410,2012,East Midlands,CCGT,"53.3622, -0.8076",-0.8076,53.3622
Coryton ,Intergen,Natural Gas,800,2001,East,CCGT,"51.512, 0.508",0.508,51.512
Rocksavage,,Natural Gas,810,1998,North West,CCGT,"53.315561, -2.725253",-2.725253,53.315561
Spalding,,Natural Gas,880,2004,East Midlands,CCGT,"52.807803, -0.132253",-0.132253,52.807803
Deeside ,International Power Ltd,Natural Gas,515,1994,Wales,CCGT,"53.233439, -3.054589",-3.054589,53.233439
Saltend *,,Natural Gas,1200,2000,Yorkshire and the Humber,CCGT,"53.733256291971934, -0.23976553975855663",-0.23976553975855663,53.733256291971934
Marchwood,Marchwood Power Limited (16),Natural Gas,842,2009,South West,CCGT,"50.898308, -1.437031",-1.437031,50.898308
Didcot B,RWE Npower Plc,Natural Gas,1470,1998,South East,CCGT,"51.623661, -1.2675",-1.2675,51.623661
Great Yarmouth,,Natural Gas,420,2001,East,CCGT,"52.583919, 1.733272",1.733272,52.583919
Little Barford,,Natural Gas,720,1995,East,CCGT,"52.204758, -0.267244",-0.267244,52.204758
Pembroke,,Natural Gas,2180,2012,Wales,CCGT,"51.683056, -4.988333",-4.988333,51.683056
Staythorpe C,,Natural Gas,1748,2010,East Midlands,CCGT,"53.074739, -0.855847",-0.855847,53.074739
Peterhead (22),   Thermal:,Natural Gas,1180,1980,Scotland,CCGT,"57.47708, -1.78988",-1.78988,57.47708
Damhead Creek,  Thermal:,Natural Gas,805,2000,South East,CCGT,"51.425339, 0.599972",0.599972,51.425339
Rye House,,Natural Gas,715,1993,East,CCGT,"51.762542, 0.010803",0.010803,51.762542
Shoreham,,Natural Gas,420,2000,South East,CCGT,"50.829511, -0.230567",-0.230567,50.829511
Seabank 1,Seabank Power Limited (24),Natural Gas,812,1998,South West,CCGT,"51.540047, -2.668858",-2.668858,51.540047
Seabank 2,,Natural Gas,410,2000,South West,CCGT,"51.540047, -2.668858",-2.668858,51.540047
Sutton Bridge,Sutton Bridge Power Generation,Natural Gas,819,1999,East,CCGT,"52.757244, 0.193014",0.193014,52.757244
Aberdare District Energy,,Natural Gas,10,2002,Wales,OCGT,"51.71196174073048, -3.4537251615723954",-3.4537251615723954,51.71196174073048
Bridgewater District Energy,,Natural Gas,10,2000,South West,OCGT,"51.124369907703695, -3.005324639875771",-3.005324639875771,51.124369907703695
Sevington District Energy,,Natural Gas,10,2000,South East,OCGT,"51.12776484353291, 0.9063589211668316",0.9063589211668316,51.12776484353291
Solutia District Energy,,Natural Gas,10,2000,Wales,OCGT,"51.55700304343962, -2.9422352428513916",-2.9422352428513916,51.55700304343962
Barkantine Heat & Power Company * ,,Natural Gas,1,2000,London,OCGT,"51.43415586852294, -0.5039229391755944",-0.5039229391755944,51.43415586852294
London Heat & Power Company *,,Natural Gas,9,2000,London,OCGT,"51.4826426863315, -0.04464033842180308",-0.04464033842180308,51.4826426863315
Fellside *,Px Limited (18),Natural Gas,180,1995,North West,OCGT,"54.418293873963314, -3.4884502036991427",-3.4884502036991427,54.418293873963314
Chippenham,,Natural Gas,10,2002,South West,OCGT,"51.467854, -2.105978",-2.105978,51.467854
Pilkington - Greengate *,,Natural Gas,10,1998,North West,OCGT,"53.440839369233665, -2.7372090533554885",-2.7372090533554885,53.440839369233665
Wilton GT2 *,,Natural Gas,42,2005,North East,OCGT,"54.589422, -1.118631",-1.118631,54.589422
Knapton,Third Energy Trading Ltd (Formerly RGS),Natural Gas,40,1994,Yorkshire and the Humber,OCGT,"54.18053772508652, -0.6428534748293272",-0.6428534748293272,54.18053772508652
VPI Immingham *,VPI Immingham LLP,Natural Gas,1240,2004,Yorkshire and the Humber,OCGT,"53.6375348640383, -0.23483406082440553",-0.23483406082440553,53.6375348640383
Burghfield,,Natural Gas,45,1998,South East,OCGT,"51.429559, -1.003935",-1.003935,51.429559
Chickerell,,Natural Gas,45,1998,South West,OCGT,"50.623407, -2.489755",-2.489755,50.623407
Wilton Power Station,,Natural Gas,238,1952,North East,OCGT,"54.5894, -1.1185",-1.1185,54.5894
Drax GT,,Oil,75,1971,Yorkshire and the Humber,gas oil,"53.735281, -0.991969",-0.991969,53.735281
Grain GT *,,Oil,55,1978,South East,gas oil,"51.445181, 0.715028",0.715028,51.445181
Ratcliffe GT,,Oil,34,1966,East Midlands,gas oil,"52.865297, -1.255",-1.255,52.865297
Taylor's Lane GT,,Oil,144,1979,London,gas oil,"50.695, -0.264",-0.264,50.695
West Burton GT,,Oil,40,1967,East Midlands,gas oil,"53.3622, -0.8076",-0.8076,53.3622
Rugeley GT,,Oil,50,1972,West Midlands,gas oil,"52.756961, -1.916389",-1.916389,52.756961
Aberthaw GT,,Oil,51,1971,Wales,gas oil,"51.387222, -3.405",-3.405,51.387222
Cowes ,,Oil,140,1982,South East,gas oil,"50.7459, -1.2864",-1.2864,50.7459
Didcot GT,,Oil,100,1972,South East,gas oil,"52.204758, -0.267244",-0.267244,52.204758
Fawley GT,,Oil,68,1969,South East,gas oil,"50.816696, -1.328881",-1.328881,50.816696
Little Barford GT,,Oil,17,2006,East,gas oil,"52.204758, -0.267244",-0.267244,52.204758
Littlebrook GT,,Oil,105,1982,South East,gas oil,"51.465333, 0.241644",0.241644,51.465333
Ferrybridge GT,,Oil,34,1966,Yorkshire and the Humber,gas oil,"53.717506, -1.280564",-1.280564,53.717506
Fiddler`s Ferry GT,,Oil,34,1969,North West,gas oil,"53.372, -2.687",-2.687,53.372
Keadby GT,,Oil,25,1994,Yorkshire and the Humber,gas oil,"53.594447, -0.750578",-0.750578,53.594447
Five Oaks,,Oil,8.7,1995,South East,light oil,"51.05927408138078, -0.44588198458103634",-0.44588198458103634,51.05927408138078
