,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,33.354,0.3%,35.908,0.3%,39.365,0.3%,48.87,0.3%,60.1,0.4%,76.56,0.4%,93.536,0.5%,111.026,0.5%,130.029,0.5%,150.751,0.6%,168.064,0.6%,195.498,0.6%,225.134,0.7%,254.749,0.7%,288.661,0.7%,318.109,0.8%,340.141,0.8%,360.299,0.8%,382.624,0.8%,413.23,0.8%,445.041,0.9%,477.714,0.9%,511.253,0.9%,545.664,0.9%,578.137,1.0%,611.299,1.0%,645.118,1.0%,679.622,1.0%,714.792,1.0%,750.654,1.1%,787.156,1.1%,,,,,
Peterhead,29.07903,,49.859,0.4%,53.847,0.4%,59.232,0.4%,71.064,0.5%,85.176,0.5%,106.522,0.6%,128.438,0.6%,150.963,0.7%,175.27,0.7%,201.536,0.8%,223.853,0.8%,258.152,0.8%,294.968,0.9%,331.728,0.9%,373.529,0.9%,410.157,1.0%,438.164,1.0%,463.932,1.0%,492.292,1.1%,530.211,1.1%,569.69,1.1%,610.119,1.1%,651.57,1.2%,694.017,1.2%,734.218,1.2%,775.219,1.2%,817.006,1.3%,859.577,1.3%,902.907,1.3%,947.036,1.3%,991.937,1.4%,,,,,
Errochty,12.67648,,12.341,0.1%,13.116,0.1%,14.2,0.1%,18.934,0.1%,24.495,0.2%,32.439,0.2%,40.672,0.2%,49.145,0.2%,58.433,0.2%,68.605,0.3%,76.978,0.3%,90.652,0.3%,105.416,0.3%,120.179,0.3%,137.204,0.3%,151.887,0.4%,172.545,0.4%,172.545,0.4%,183.508,0.4%,198.792,0.4%,214.69,0.4%,231.028,0.4%,247.829,0.4%,265.087,0.5%,281.326,0.5%,297.915,0.5%,314.885,0.5%,332.193,0.5%,349.831,0.5%,367.831,0.5%,386.168,0.5%,,,,,
Denny/Bonnybridge,48.05308,,147.376,1.1%,166.086,1.2%,189.827,1.3%,206.104,1.4%,225.876,1.4%,257.557,1.4%,290.067,1.5%,323.278,1.5%,358.53,1.5%,396.052,1.5%,427.699,1.5%,476.901,1.5%,529.408,1.6%,582.546,1.6%,642.014,1.6%,695.993,1.7%,740.227,1.7%,781.748,1.7%,826.501,1.8%,882.993,1.8%,941.822,1.8%,1002.213,1.9%,1064.104,1.9%,1127.585,1.9%,1188.437,2.0%,1250.447,2.0%,1313.528,2.0%,1377.919,2.1%,1443.382,2.1%,1510.143,2.1%,1577.982,2.2%,,,,,
Neilston,40.33216,,66.527,0.5%,71.776,0.5%,78.829,0.6%,91.718,0.6%,107.62,0.7%,133.941,0.7%,161.046,0.8%,188.379,0.9%,217.35,0.9%,247.77,1.0%,274.391,1.0%,313.05,1.0%,354.007,1.0%,395.404,1.1%,441.127,1.1%,482.846,1.1%,517.909,1.2%,551.113,1.2%,586.445,1.3%,629.958,1.3%,675.203,1.3%,721.413,1.4%,768.612,1.4%,816.978,1.4%,863.541,1.4%,910.896,1.5%,958.796,1.5%,1007.743,1.5%,1057.261,1.5%,1107.792,1.6%,1158.901,1.6%,,,,,
Strathaven,32.62527,,30.357,0.2%,34.583,0.3%,39.845,0.3%,43.721,0.3%,48.517,0.3%,56.522,0.3%,64.764,0.3%,73.064,0.3%,81.848,0.3%,91.04,0.4%,99.071,0.3%,110.794,0.4%,123.216,0.4%,135.817,0.4%,149.7,0.4%,162.451,0.4%,173.283,0.4%,183.586,0.4%,194.508,0.4%,207.85,0.4%,221.726,0.4%,235.905,0.4%,250.39,0.4%,265.236,0.5%,279.574,0.5%,294.151,0.5%,308.889,0.5%,323.965,0.5%,339.201,0.5%,354.777,0.5%,370.525,0.5%,,,,,
Torness,12.47125,,52.815,0.4%,58.182,0.4%,65.199,0.5%,69.167,0.5%,74.29,0.5%,84.044,0.5%,93.91,0.5%,103.815,0.5%,113.92,0.5%,124.225,0.5%,133.99,0.5%,145.947,0.5%,158.225,0.5%,170.582,0.5%,183.529,0.5%,195.966,0.5%,207.504,0.5%,218.802,0.5%,230.389,0.5%,243.085,0.5%,256.274,0.5%,269.603,0.5%,283.08,0.5%,296.709,0.5%,310.107,0.5%,323.616,0.5%,337.204,0.5%,350.942,0.5%,364.761,0.5%,378.727,0.5%,392.776,0.5%,,,,,
Eccles,18.13913,,16.757,0.1%,17.809,0.1%,19.281,0.1%,21.454,0.1%,24.3,0.1%,29.879,0.2%,35.539,0.2%,41.159,0.2%,46.898,0.2%,52.679,0.2%,58.298,0.2%,64.819,0.2%,71.46,0.2%,78.141,0.2%,85.021,0.2%,91.702,0.2%,98.102,0.2%,104.422,0.2%,110.823,0.2%,117.624,0.2%,124.675,0.2%,131.766,0.2%,138.897,0.2%,146.107,0.3%,153.239,0.3%,160.41,0.3%,167.58,0.3%,174.832,0.3%,182.084,0.3%,189.415,0.3%,196.745,0.3%,,,,,
Harker,20.87751,,131.442,1.0%,135.162,1.0%,142.395,1.0%,148.714,1.0%,156.686,1.0%,171.119,0.9%,185.608,0.9%,200.059,0.9%,215.131,0.9%,230.759,0.9%,247.472,0.9%,266.04,0.9%,285.029,0.8%,303.409,0.8%,323.098,0.8%,340.356,0.8%,354.436,0.8%,367.745,0.8%,381.815,0.8%,398.634,0.8%,415.948,0.8%,433.283,0.8%,450.617,0.8%,467.988,0.8%,484.592,0.8%,501.217,0.8%,517.821,0.8%,534.465,0.8%,551.098,0.8%,567.771,0.8%,584.436,0.8%,,,,,
Stella West,145.95756,,262.35,2.0%,275.451,2.0%,295.33,2.1%,332.945,2.2%,379.388,2.3%,459.004,2.5%,538.532,2.7%,617.94,2.8%,702.138,2.9%,791.144,3.0%,890.89,3.1%,1000.412,3.2%,1112.784,3.3%,1219.387,3.3%,1336.431,3.4%,1432.994,3.4%,1502.824,3.4%,1566.246,3.5%,1635.981,3.5%,1727.782,3.5%,1821.878,3.6%,1915.723,3.6%,2009.407,3.6%,2102.934,3.6%,2190.027,3.6%,2277.002,3.7%,2363.827,3.7%,2450.523,3.7%,2537.077,3.7%,2623.473,3.7%,2709.73,3.7%,,,,,
Penwortham,103.36259,,251.335,1.9%,259.297,1.9%,273.946,1.9%,297.036,2.0%,324.817,2.0%,368.755,2.0%,412.593,2.1%,456.37,2.1%,504.036,2.1%,555.575,2.1%,615.941,2.2%,682.527,2.2%,751.483,2.2%,815.719,2.2%,888.465,2.2%,944.549,2.2%,978.805,2.2%,1007.831,2.2%,1042.056,2.2%,1094.253,2.2%,1147.413,2.2%,1200.443,2.2%,1253.304,2.2%,1306.055,2.3%,1353.573,2.3%,1400.973,2.3%,1448.265,2.3%,1495.443,2.3%,1542.484,2.3%,1589.444,2.3%,1636.264,2.2%,,,,,
Deeside,141.94391,,613.319,4.7%,633.12,4.7%,669.182,4.7%,713.765,4.7%,768.846,4.7%,863.277,4.8%,957.594,4.8%,1051.804,4.8%,1151.692,4.8%,1257.162,4.8%,1375.519,4.8%,1505.35,4.8%,1638.654,4.8%,1765.053,4.8%,1903.853,4.8%,2018.395,4.8%,2101.207,4.8%,2176.446,4.8%,2259.178,4.9%,2368.059,4.9%,2479.615,4.9%,2590.945,4.8%,2702.057,4.8%,2812.984,4.8%,2916.303,4.9%,3019.438,4.9%,3122.437,4.9%,3225.263,4.9%,3327.911,4.9%,3430.405,4.9%,3532.713,4.9%,,,,,
