,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,33.354,0.3%,36.008,0.3%,39.955,0.3%,54.46,0.3%,72.02,0.4%,95.5,0.4%,120.336,0.5%,146.606,0.5%,174.229,0.6%,203.251,0.6%,223.804,0.6%,259.768,0.7%,299.284,0.7%,339.419,0.7%,382.281,0.8%,419.239,0.8%,449.501,0.8%,474.949,0.8%,505.944,0.9%,544.89,0.9%,591.891,0.9%,640.364,1.0%,693.833,1.0%,743.164,1.0%,784.207,1.0%,818.759,1.1%,850.658,1.1%,882.652,1.1%,914.752,1.1%,946.934,1.1%,979.206,1.2%,,,,,
Peterhead,29.07903,,49.859,0.4%,54.057,0.4%,60.332,0.4%,77.974,0.5%,99.476,0.5%,128.942,0.6%,160.008,0.6%,192.703,0.7%,227.03,0.7%,262.956,0.8%,289.043,0.8%,333.222,0.8%,381.528,0.9%,430.558,0.9%,482.759,1.0%,528.077,1.0%,565.624,1.0%,597.612,1.1%,635.992,1.1%,683.631,1.1%,740.67,1.2%,799.509,1.2%,864.1,1.2%,923.877,1.3%,974.018,1.3%,1016.679,1.3%,1056.226,1.3%,1095.867,1.4%,1135.627,1.4%,1175.496,1.4%,1215.487,1.4%,,,,,
Errochty,12.67648,,12.341,0.1%,13.116,0.1%,14.2,0.1%,21.554,0.1%,30.425,0.2%,42.029,0.2%,54.362,0.2%,67.425,0.2%,81.223,0.3%,95.735,0.3%,105.818,0.3%,123.912,0.3%,143.866,0.3%,164.119,0.4%,185.854,0.4%,204.447,0.4%,232.165,0.4%,232.165,0.4%,247.658,0.4%,267.302,0.4%,291.12,0.5%,315.738,0.5%,342.939,0.5%,367.997,0.5%,388.706,0.5%,406.045,0.5%,421.995,0.5%,437.983,0.5%,454.011,0.6%,470.121,0.6%,486.248,0.6%,,,,,
Denny/Bonnybridge,48.05308,,147.376,1.1%,167.616,1.2%,198.627,1.3%,220.294,1.3%,247.436,1.3%,287.487,1.3%,329.767,1.3%,374.148,1.3%,420.75,1.4%,469.332,1.4%,504.959,1.4%,566.771,1.4%,634.028,1.5%,703.036,1.5%,776.444,1.5%,842.633,1.6%,900.067,1.6%,951.038,1.7%,1009.741,1.7%,1079.903,1.8%,1162.382,1.8%,1247.493,1.9%,1340.354,1.9%,1427.785,2.0%,1503.097,2.0%,1569.117,2.0%,1631.118,2.1%,1693.389,2.1%,1755.772,2.2%,1818.303,2.2%,1881.062,2.2%,,,,,
Neilston,40.33216,,66.527,0.5%,71.896,0.5%,79.549,0.5%,96.328,0.6%,117.52,0.6%,149.841,0.7%,183.716,0.7%,218.929,0.8%,255.81,0.8%,293.99,0.9%,323.421,0.9%,370.68,0.9%,421.717,1.0%,474.014,1.0%,529.147,1.1%,579.286,1.1%,623.319,1.1%,662.693,1.2%,707.565,1.2%,760.288,1.3%,821.553,1.3%,884.563,1.3%,952.942,1.4%,1017.618,1.4%,1073.741,1.4%,1123.566,1.5%,1170.686,1.5%,1217.913,1.5%,1265.381,1.6%,1312.772,1.6%,1360.291,1.6%,,,,,
Strathaven,32.62527,,30.357,0.2%,34.823,0.3%,41.275,0.3%,46.191,0.3%,52.447,0.3%,62.122,0.3%,72.274,0.3%,82.814,0.3%,93.878,0.3%,105.31,0.3%,114.121,0.3%,128.404,0.3%,143.856,0.3%,159.707,0.3%,176.44,0.4%,191.771,0.4%,205.353,0.4%,217.576,0.4%,231.418,0.4%,247.58,0.4%,266.296,0.4%,285.565,0.4%,306.45,0.4%,326.286,0.4%,343.564,0.5%,358.981,0.5%,373.599,0.5%,388.255,0.5%,402.991,0.5%,417.687,0.5%,432.425,0.5%,,,,,
Torness,12.47125,,52.815,0.4%,58.642,0.4%,67.779,0.5%,72.227,0.4%,78.01,0.4%,88.544,0.4%,99.29,0.4%,110.215,0.4%,121.38,0.4%,132.715,0.4%,142.83,0.4%,155.977,0.4%,169.645,0.4%,183.502,0.4%,197.759,0.4%,211.376,0.4%,224.174,0.4%,236.372,0.4%,249.299,0.4%,263.295,0.4%,278.714,0.4%,294.383,0.4%,310.8,0.4%,326.719,0.4%,341.487,0.5%,355.386,0.5%,368.914,0.5%,382.462,0.5%,396.031,0.5%,409.607,0.5%,423.196,0.5%,,,,,
Eccles,18.13913,,16.757,0.1%,17.809,0.1%,19.281,0.1%,21.614,0.1%,24.7,0.1%,30.559,0.1%,36.499,0.1%,42.479,0.2%,48.578,0.2%,54.719,0.2%,60.458,0.2%,67.379,0.2%,74.5,0.2%,81.701,0.2%,89.021,0.2%,96.142,0.2%,102.982,0.2%,109.582,0.2%,116.463,0.2%,123.704,0.2%,131.515,0.2%,139.406,0.2%,147.577,0.2%,155.587,0.2%,163.159,0.2%,170.45,0.2%,177.62,0.2%,184.792,0.2%,192.004,0.2%,199.175,0.2%,206.345,0.2%,,,,,
Harker,20.87751,,131.442,1.0%,136.702,1.0%,150.045,1.0%,160.134,0.9%,172.286,0.9%,190.739,0.9%,209.218,0.8%,227.709,0.8%,246.251,0.8%,264.789,0.8%,283.212,0.8%,304.15,0.8%,325.919,0.8%,347.079,0.7%,368.588,0.7%,386.946,0.7%,402.296,0.7%,415.695,0.7%,431.055,0.7%,448.954,0.7%,469.498,0.7%,490.033,0.7%,511.627,0.7%,531.518,0.7%,548.632,0.7%,563.797,0.7%,578.181,0.7%,592.565,0.7%,606.968,0.7%,621.341,0.8%,635.716,0.8%,,,,,
