,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,33.354,0.3%,34.393,0.3%,35.467,0.3%,39.916,0.3%,44.402,0.3%,49.148,0.4%,54.698,0.4%,61.149,0.4%,68.257,0.5%,76.311,0.5%,86.075,0.5%,98.607,0.6%,113.038,0.6%,128.113,0.7%,146.555,0.7%,162.425,0.7%,171.61,0.8%,180.802,0.8%,189.985,0.8%,202.604,0.9%,216.748,0.9%,231.252,0.9%,246.154,1.0%,261.454,1.0%,277.097,1.0%,293.161,1.1%,309.614,1.1%,326.444,1.1%,343.639,1.2%,361.202,1.2%,379.194,1.2%,,,,,
Peterhead,29.07903,,49.859,0.4%,51.651,0.4%,53.482,0.4%,58.704,0.4%,64.053,0.5%,69.637,0.5%,76.358,0.5%,84.155,0.6%,92.772,0.6%,102.486,0.7%,114.283,0.7%,129.276,0.7%,146.491,0.8%,164.417,0.8%,186.311,0.9%,205.197,0.9%,216.312,1.0%,227.406,1.0%,238.524,1.0%,253.658,1.1%,270.524,1.1%,287.819,1.2%,305.574,1.2%,323.771,1.3%,342.425,1.3%,361.52,1.3%,381.045,1.4%,401.03,1.4%,421.465,1.4%,442.342,1.5%,463.664,1.5%,,,,,
Errochty,12.67648,,12.341,0.1%,12.497,0.1%,12.652,0.1%,14.935,0.1%,17.281,0.1%,19.706,0.1%,22.551,0.2%,25.822,0.2%,29.452,0.2%,33.553,0.2%,38.509,0.2%,44.922,0.3%,52.357,0.3%,60.082,0.3%,69.606,0.3%,77.772,0.4%,87.113,0.4%,87.113,0.4%,91.766,0.4%,98.262,0.4%,105.505,0.4%,112.972,0.5%,120.624,0.5%,128.479,0.5%,136.534,0.5%,144.799,0.5%,153.244,0.6%,161.899,0.6%,170.764,0.6%,179.838,0.6%,189.093,0.6%,,,,,
Denny/Bonnybridge,48.05308,,147.376,1.1%,160.635,1.2%,174.392,1.3%,181.244,1.3%,188.254,1.4%,195.536,1.4%,204.645,1.4%,215.126,1.5%,226.667,1.5%,239.417,1.5%,254.755,1.5%,275.234,1.6%,298.444,1.6%,322.937,1.6%,352.176,1.7%,378.419,1.7%,395.697,1.8%,412.961,1.8%,430.205,1.9%,452.377,1.9%,476.754,2.0%,501.899,2.0%,527.686,2.1%,554.097,2.1%,581.219,2.2%,609.049,2.2%,637.51,2.3%,666.61,2.3%,696.38,2.4%,726.859,2.4%,758.009,2.5%,,,,,
Neilston,40.33216,,66.527,0.5%,68.537,0.5%,70.61,0.5%,75.519,0.6%,80.509,0.6%,85.646,0.6%,92.389,0.7%,100.422,0.7%,108.984,0.7%,118.587,0.8%,130.107,0.8%,145.009,0.8%,161.741,0.9%,179.485,0.9%,200.35,1.0%,219.159,1.0%,231.743,1.0%,244.323,1.1%,256.889,1.1%,272.855,1.2%,290.225,1.2%,308.105,1.3%,326.56,1.3%,345.327,1.3%,364.637,1.4%,384.477,1.4%,404.67,1.5%,425.171,1.5%,446.219,1.5%,467.819,1.6%,489.771,1.6%,,,,,
Strathaven,32.62527,,30.357,0.2%,33.241,0.3%,36.208,0.3%,37.682,0.3%,39.176,0.3%,40.723,0.3%,42.747,0.3%,45.16,0.3%,47.729,0.3%,50.598,0.3%,54.031,0.3%,58.527,0.3%,63.572,0.3%,68.936,0.4%,75.22,0.4%,80.935,0.4%,84.849,0.4%,88.753,0.4%,92.667,0.4%,97.581,0.4%,102.907,0.4%,108.401,0.4%,114.074,0.5%,119.83,0.5%,125.765,0.5%,131.868,0.5%,138.083,0.5%,144.389,0.5%,150.863,0.5%,157.508,0.5%,164.262,0.5%,,,,,
Torness,12.47125,,52.815,0.4%,56.217,0.4%,59.758,0.4%,60.679,0.4%,61.609,0.5%,62.562,0.5%,64.234,0.5%,66.181,0.5%,68.336,0.5%,70.629,0.4%,73.426,0.4%,76.709,0.4%,80.256,0.4%,83.931,0.4%,88.036,0.4%,91.881,0.4%,94.896,0.4%,97.91,0.4%,100.926,0.4%,104.402,0.4%,108.066,0.5%,111.811,0.5%,115.635,0.5%,119.501,0.5%,123.446,0.5%,127.47,0.5%,131.547,0.5%,135.661,0.5%,139.856,0.5%,144.131,0.5%,148.456,0.5%,,,,,
Eccles,18.13913,,16.757,0.1%,16.967,0.1%,17.177,0.1%,17.587,0.1%,17.998,0.1%,18.409,0.1%,19.24,0.1%,20.256,0.1%,21.337,0.1%,22.499,0.1%,23.912,0.1%,25.483,0.1%,27.136,0.1%,28.867,0.1%,30.719,0.1%,32.492,0.1%,33.983,0.2%,35.474,0.2%,36.966,0.2%,38.619,0.2%,40.311,0.2%,42.043,0.2%,43.814,0.2%,45.588,0.2%,47.399,0.2%,49.25,0.2%,51.102,0.2%,52.955,0.2%,54.846,0.2%,56.779,0.2%,58.71,0.2%,,,,,
Harker,20.87751,,131.442,1.0%,132.485,1.0%,133.779,1.0%,134.795,1.0%,135.81,1.0%,136.912,1.0%,138.987,1.0%,141.713,1.0%,144.841,1.0%,148.379,0.9%,152.968,0.9%,158.171,0.9%,163.954,0.9%,169.708,0.9%,176.537,0.8%,181.94,0.8%,184.523,0.8%,187.093,0.8%,189.676,0.8%,193.429,0.8%,197.552,0.8%,201.692,0.8%,205.855,0.8%,210.018,0.8%,214.187,0.8%,218.391,0.8%,222.574,0.8%,226.756,0.8%,230.956,0.8%,235.18,0.8%,239.393,0.8%,,,,,
Stella West,145.95756,,262.35,2.0%,265.181,2.0%,268.225,2.0%,274.116,2.0%,279.941,2.0%,286.611,2.1%,298.07,2.1%,314.024,2.2%,332.806,2.2%,354.797,2.3%,384.051,2.3%,417.713,2.4%,456.085,2.5%,493.661,2.5%,540.094,2.6%,574.246,2.6%,584.848,2.6%,595.424,2.6%,606.029,2.7%,626.1,2.7%,649.285,2.7%,672.336,2.7%,695.32,2.8%,718.234,2.8%,741.019,2.8%,763.811,2.8%,786.452,2.8%,809.038,2.8%,831.541,2.9%,853.938,2.9%,876.278,2.9%,,,,,
Penwortham,103.36259,,251.335,1.9%,253.451,1.9%,255.985,1.9%,259.94,1.9%,263.863,1.9%,268.437,1.9%,275.3,1.9%,285.365,2.0%,297.312,2.0%,311.869,2.0%,331.511,2.0%,354.763,2.0%,381.845,2.1%,408.245,2.1%,441.928,2.1%,465.549,2.1%,469.98,2.1%,474.421,2.1%,478.862,2.1%,491.034,2.1%,505.707,2.1%,520.318,2.1%,534.849,2.1%,549.339,2.1%,563.741,2.1%,578.083,2.1%,592.355,2.1%,606.565,2.1%,620.718,2.1%,634.789,2.1%,648.812,2.1%,,,,,
Deeside,141.94391,,613.319,4.7%,618.514,4.7%,624.741,4.7%,631.705,4.7%,638.624,4.7%,646.52,4.7%,660.147,4.7%,679.108,4.7%,701.362,4.6%,727.406,4.6%,762.067,4.6%,802.006,4.6%,847.507,4.6%,892.005,4.5%,947.116,4.5%,987.575,4.5%,1000.156,4.5%,1012.723,4.5%,1025.274,4.5%,1049.084,4.5%,1076.524,4.5%,1103.885,4.5%,1131.144,4.5%,1158.302,4.5%,1185.364,4.5%,1212.343,4.5%,1239.223,4.5%,1265.994,4.4%,1292.691,4.4%,1319.27,4.4%,1345.751,4.4%,,,,,
Daines,151.98015,,335.82,2.6%,338.996,2.6%,342.604,2.6%,346.61,2.6%,350.607,2.6%,355.024,2.6%,363.877,2.6%,375.54,2.6%,389.139,2.6%,404.406,2.6%,424.382,2.6%,446.688,2.6%,471.413,2.5%,495.707,2.5%,524.632,2.5%,547.148,2.5%,557.472,2.5%,567.81,2.5%,578.123,2.5%,593.349,2.5%,610.185,2.6%,626.958,2.6%,643.715,2.6%,660.429,2.6%,677.084,2.6%,693.708,2.6%,710.293,2.6%,726.83,2.6%,743.304,2.6%,759.779,2.6%,776.194,2.6%,,,,,
Th. Marsh/Stocksbridge,161.59842,,333.472,2.6%,336.721,2.6%,340.357,2.6%,344.221,2.5%,348.11,2.5%,352.385,2.5%,361.323,2.5%,372.928,2.6%,386.442,2.6%,401.329,2.6%,420.741,2.6%,442.103,2.5%,465.445,2.5%,488.536,2.5%,515.399,2.5%,536.931,2.4%,548.233,2.5%,559.435,2.5%,570.658,2.5%,586.101,2.5%,602.782,2.5%,619.534,2.5%,636.184,2.5%,652.838,2.5%,669.381,2.5%,685.993,2.5%,702.504,2.5%,718.985,2.5%,735.388,2.5%,751.85,2.5%,768.224,2.5%,,,,,
Thornton/Drax/Eggborough,69.22865,,294.069,2.3%,297.015,2.3%,300.275,2.3%,304.63,2.3%,308.997,2.3%,313.834,2.3%,323.184,2.3%,335.678,2.3%,350.244,2.3%,366.783,2.3%,388.523,2.4%,412.998,2.4%,440.314,2.4%,467.125,2.4%,499.378,2.4%,524.123,2.4%,534.485,2.4%,544.87,2.4%,555.235,2.4%,571.385,2.5%,589.43,2.5%,607.403,2.5%,625.347,2.5%,643.232,2.5%,661.074,2.5%,678.858,2.5%,696.591,2.5%,714.275,2.5%,731.91,2.5%,749.491,2.5%,767.056,2.5%,,,,,
Keadby,86.03201,,296.804,2.3%,299.257,2.3%,302.239,2.3%,305.972,2.3%,309.704,2.3%,314.017,2.3%,320.855,2.3%,330.693,2.3%,342.284,2.3%,356.195,2.3%,374.828,2.3%,396.641,2.3%,421.835,2.3%,446.428,2.3%,477.411,2.3%,499.544,2.3%,504.837,2.3%,510.13,2.3%,515.413,2.3%,527.477,2.3%,541.761,2.3%,555.982,2.3%,570.136,2.3%,584.249,2.3%,598.312,2.3%,612.287,2.3%,626.228,2.3%,640.101,2.2%,653.914,2.2%,667.668,2.2%,681.382,2.2%,,,,,
