,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,3.466,0.3%,3.638,0.3%,3.833,0.3%,4.07,0.2%,4.355,0.2%,4.77,0.2%,5.347,0.2%,6.022,0.3%,6.803,0.3%,7.687,0.3%,8.676,0.3%,9.795,0.3%,11.043,0.3%,12.403,0.3%,13.875,0.2%,15.459,0.2%,17.16,0.2%,18.983,0.2%,20.906,0.2%,22.941,0.2%,25.115,0.2%,27.418,0.2%,29.84,0.3%,32.384,0.3%,35.036,0.3%,37.804,0.3%,40.949,0.3%,43.95,0.3%,47.066,0.3%,50.302,0.3%,53.651,0.3%,,,,,
Peterhead,29.07903,,11.991,1.2%,12.234,1.1%,12.512,0.9%,12.846,0.8%,13.255,0.7%,13.842,0.7%,14.661,0.7%,15.618,0.7%,16.724,0.7%,17.978,0.6%,44.379,1.3%,45.962,1.2%,47.73,1.1%,49.658,1.1%,81.745,1.5%,83.989,1.3%,116.399,1.6%,118.985,1.5%,121.711,1.4%,124.595,1.3%,127.676,1.3%,130.938,1.2%,134.377,1.1%,137.977,1.1%,141.737,1.1%,145.661,1.1%,150.117,1.1%,204.369,1.4%,208.788,1.4%,213.37,1.3%,218.121,1.3%,,,,,
Errochty,12.67648,,0.03,0.0%,0.106,0.0%,0.193,0.0%,0.299,0.0%,0.427,0.0%,0.613,0.0%,0.87,0.0%,1.173,0.1%,1.524,0.1%,1.917,0.1%,2.359,0.1%,2.86,0.1%,3.418,0.1%,4.026,0.1%,4.683,0.1%,5.392,0.1%,6.969,0.1%,6.969,0.1%,7.828,0.1%,8.739,0.1%,9.712,0.1%,10.741,0.1%,11.826,0.1%,12.963,0.1%,14.148,0.1%,15.386,0.1%,16.792,0.1%,18.135,0.1%,19.53,0.1%,20.975,0.1%,22.474,0.1%,,,,,
Denny/Bonnybridge,48.05308,,75.946,7.5%,76.33,7.0%,76.771,5.6%,77.302,4.6%,77.943,4.2%,94.871,4.8%,96.17,4.4%,97.686,4.3%,99.438,4.0%,101.424,3.4%,103.642,3.0%,106.247,2.8%,119.047,2.9%,181.897,3.9%,185.203,3.3%,248.554,3.9%,252.372,3.6%,256.464,3.3%,260.782,3.0%,265.345,2.9%,270.223,2.7%,294.388,2.6%,344.832,2.9%,370.435,3.0%,376.386,2.9%,382.596,2.9%,389.652,2.8%,396.389,2.7%,453.383,3.0%,460.637,2.9%,477.231,2.9%,,,,,
Neilston,40.33216,,20.146,2.0%,20.519,1.9%,20.947,1.5%,21.468,1.3%,22.095,1.2%,23.002,1.2%,24.27,1.1%,25.752,1.1%,27.467,1.1%,29.405,1.0%,31.573,0.9%,34.027,0.9%,36.763,0.9%,39.748,0.8%,42.979,0.8%,76.356,1.2%,99.079,1.4%,123.084,1.6%,157.207,1.8%,161.668,1.7%,186.434,1.9%,191.486,1.7%,230.707,2.0%,256.283,2.1%,262.098,2.0%,268.173,2.0%,375.073,2.7%,381.652,2.6%,388.495,2.6%,495.587,3.1%,502.938,3.1%,,,,,
Strathaven,32.62527,,5.045,0.5%,5.16,0.5%,5.293,0.4%,5.455,0.3%,5.646,0.3%,5.928,0.3%,6.32,0.3%,6.779,0.3%,7.309,0.3%,7.907,0.3%,8.576,0.2%,9.335,0.2%,10.18,0.2%,11.103,0.2%,12.1,0.2%,13.175,0.2%,14.328,0.2%,15.564,0.2%,16.869,0.2%,18.246,0.2%,19.72,0.2%,21.281,0.2%,22.926,0.2%,24.649,0.2%,26.446,0.2%,28.323,0.2%,30.454,0.2%,32.49,0.2%,34.603,0.2%,36.795,0.2%,39.067,0.2%,,,,,
Torness,12.47125,,0.067,0.0%,0.24,0.0%,0.438,0.0%,0.678,0.0%,0.968,0.1%,1.388,0.1%,1.973,0.1%,2.658,0.1%,3.45,0.1%,4.344,0.1%,5.345,0.2%,6.478,0.2%,7.742,0.2%,9.119,0.2%,10.61,0.2%,12.215,0.2%,13.938,0.2%,15.787,0.2%,17.735,0.2%,19.796,0.2%,21.998,0.2%,24.331,0.2%,26.787,0.2%,29.362,0.2%,32.048,0.2%,34.853,0.3%,38.039,0.3%,41.079,0.3%,44.238,0.3%,47.513,0.3%,50.907,0.3%,,,,,
Eccles,18.13913,,0.04,0.0%,0.144,0.0%,0.263,0.0%,0.406,0.0%,0.58,0.0%,0.832,0.0%,1.182,0.1%,1.593,0.1%,2.067,0.1%,2.605,0.1%,3.204,0.1%,3.883,0.1%,4.64,0.1%,5.466,0.1%,6.359,0.1%,7.322,0.1%,8.355,0.1%,9.463,0.1%,10.63,0.1%,11.865,0.1%,13.185,0.1%,14.584,0.1%,16.057,0.1%,17.6,0.1%,19.21,0.1%,20.89,0.2%,22.801,0.2%,24.622,0.2%,26.515,0.2%,28.479,0.2%,30.514,0.2%,,,,,
Harker,20.87751,,10.592,1.0%,10.832,1.0%,11.104,0.8%,11.436,0.7%,11.837,0.6%,12.415,0.6%,13.222,0.6%,14.169,0.6%,15.261,0.6%,16.496,0.6%,17.877,0.5%,19.439,0.5%,21.186,0.5%,43.086,0.9%,50.842,0.9%,53.06,0.8%,66.834,0.9%,89.387,1.1%,92.078,1.1%,100.919,1.1%,103.959,1.0%,111.978,1.0%,115.369,1.0%,118.923,1.0%,122.629,1.0%,126.5,0.9%,130.896,0.9%,135.094,0.9%,139.451,0.9%,143.972,0.9%,148.656,0.9%,,,,,
