,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,3.466,0.3%,3.549,0.3%,3.635,0.3%,3.722,0.3%,3.812,0.3%,3.904,0.2%,4.002,0.2%,4.118,0.2%,4.243,0.2%,4.379,0.2%,4.522,0.2%,4.693,0.2%,4.865,0.2%,5.051,0.1%,5.245,0.1%,5.449,0.1%,5.664,0.1%,5.889,0.1%,6.124,0.1%,6.635,0.1%,6.9,0.1%,7.168,0.1%,7.445,0.1%,7.739,0.1%,8.047,0.1%,8.354,0.1%,8.672,0.1%,9.008,0.1%,9.347,0.1%,9.697,0.1%,10.057,0.1%,,,,,
Peterhead,29.07903,,11.991,1.2%,12.113,1.0%,12.23,1.0%,12.356,1.0%,12.486,0.8%,12.613,0.7%,12.755,0.6%,12.919,0.6%,13.095,0.6%,13.287,0.5%,13.493,0.5%,13.731,0.5%,13.977,0.4%,14.24,0.4%,14.515,0.4%,14.803,0.4%,15.108,0.3%,15.427,0.3%,15.761,0.3%,16.484,0.3%,16.861,0.3%,17.238,0.3%,17.638,0.3%,18.051,0.3%,18.484,0.3%,18.921,0.3%,19.372,0.3%,69.85,1.0%,70.329,0.9%,70.827,0.9%,71.337,0.9%,,,,,
Errochty,12.67648,,0.03,0.0%,0.066,0.0%,0.105,0.0%,0.145,0.0%,0.183,0.0%,0.225,0.0%,0.271,0.0%,0.321,0.0%,0.379,0.0%,0.436,0.0%,0.503,0.0%,0.578,0.0%,0.654,0.0%,0.737,0.0%,0.826,0.0%,0.916,0.0%,1.113,0.0%,1.113,0.0%,1.218,0.0%,1.445,0.0%,1.566,0.0%,1.686,0.0%,1.81,0.0%,1.94,0.0%,2.075,0.0%,2.214,0.0%,2.359,0.0%,2.507,0.0%,2.661,0.0%,2.816,0.0%,2.979,0.0%,,,,,
Denny/Bonnybridge,48.05308,,75.946,7.5%,106.032,9.1%,106.226,8.6%,106.419,8.6%,116.621,7.9%,116.831,6.9%,133.051,6.4%,133.315,5.8%,133.693,5.6%,133.993,5.2%,134.326,5.0%,134.699,4.9%,135.087,4.3%,135.503,3.8%,165.838,4.3%,166.298,4.0%,216.678,4.8%,217.186,4.4%,217.712,4.0%,218.857,3.9%,219.457,3.7%,220.055,3.6%,220.685,3.4%,221.334,3.4%,222.024,3.2%,222.715,3.2%,223.431,3.1%,249.182,3.4%,299.946,4.0%,300.731,4.0%,302.741,4.0%,,,,,
Neilston,40.33216,,20.146,2.0%,20.328,1.7%,20.512,1.7%,20.705,1.7%,20.898,1.4%,21.102,1.2%,21.323,1.0%,21.581,0.9%,21.848,0.9%,22.147,0.9%,22.47,0.8%,22.832,0.8%,23.213,0.7%,23.623,0.7%,24.045,0.6%,24.494,0.6%,24.964,0.6%,25.464,0.5%,85.774,1.6%,86.893,1.5%,87.482,1.5%,88.063,1.4%,88.682,1.4%,89.319,1.4%,139.891,2.0%,140.569,2.0%,141.268,2.0%,142.004,1.9%,142.748,1.9%,143.517,1.9%,144.307,1.9%,,,,,
Strathaven,32.62527,,5.045,0.5%,5.102,0.4%,5.159,0.4%,5.218,0.4%,5.279,0.4%,5.34,0.3%,5.409,0.3%,5.489,0.2%,5.573,0.2%,5.663,0.2%,5.762,0.2%,5.875,0.2%,5.994,0.2%,6.118,0.2%,6.251,0.2%,6.39,0.2%,6.534,0.1%,6.688,0.1%,6.848,0.1%,7.192,0.1%,7.374,0.1%,7.553,0.1%,7.743,0.1%,7.941,0.1%,8.15,0.1%,8.358,0.1%,8.575,0.1%,8.801,0.1%,9.032,0.1%,9.268,0.1%,9.514,0.1%,,,,,
Torness,12.47125,,0.067,0.0%,0.151,0.0%,0.237,0.0%,0.325,0.0%,0.418,0.0%,0.51,0.0%,0.611,0.0%,0.73,0.0%,0.854,0.0%,0.99,0.0%,1.14,0.0%,1.309,0.0%,1.485,0.0%,1.672,0.0%,1.868,0.0%,2.075,0.1%,2.293,0.1%,2.522,0.1%,2.759,0.1%,3.277,0.1%,3.547,0.1%,3.816,0.1%,4.101,0.1%,4.397,0.1%,4.706,0.1%,5.019,0.1%,5.341,0.1%,5.681,0.1%,6.025,0.1%,6.38,0.1%,6.745,0.1%,,,,,
Eccles,18.13913,,0.04,0.0%,0.09,0.0%,0.141,0.0%,0.194,0.0%,0.25,0.0%,0.306,0.0%,0.367,0.0%,0.436,0.0%,0.513,0.0%,0.593,0.0%,0.684,0.0%,0.785,0.0%,0.89,0.0%,1.003,0.0%,1.12,0.0%,1.245,0.0%,1.375,0.0%,1.512,0.0%,1.654,0.0%,1.963,0.0%,2.126,0.0%,2.287,0.0%,2.459,0.0%,2.634,0.0%,2.821,0.0%,3.009,0.0%,3.201,0.0%,3.406,0.0%,3.612,0.0%,3.823,0.1%,4.043,0.1%,,,,,
Harker,20.87751,,10.592,1.0%,10.708,0.9%,10.828,0.9%,10.95,0.9%,11.076,0.7%,11.205,0.7%,11.344,0.5%,11.506,0.5%,11.68,0.5%,31.866,1.2%,32.075,1.2%,32.306,1.2%,32.549,1.0%,32.809,0.9%,33.08,0.9%,33.366,0.8%,33.665,0.7%,33.979,0.7%,34.309,0.6%,35.021,0.6%,35.394,0.6%,35.765,0.6%,36.159,0.6%,36.566,0.6%,36.996,0.5%,37.426,0.5%,37.872,0.5%,38.341,0.5%,38.815,0.5%,39.304,0.5%,39.809,0.5%,,,,,
