,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,3.466,0.3%,3.549,0.3%,3.64,0.3%,3.74,0.3%,3.845,0.3%,3.981,0.3%,4.135,0.2%,4.329,0.2%,4.552,0.2%,4.798,0.2%,5.071,0.2%,5.374,0.2%,5.71,0.2%,6.072,0.2%,6.464,0.2%,6.878,0.2%,7.324,0.2%,7.794,0.2%,8.289,0.2%,8.817,0.2%,9.367,0.2%,9.949,0.2%,10.555,0.2%,11.188,0.2%,11.846,0.2%,12.534,0.2%,13.248,0.2%,13.988,0.2%,14.756,0.2%,15.55,0.2%,16.371,0.2%,,,,,
Peterhead,29.07903,,11.991,1.2%,12.113,1.2%,12.24,1.1%,12.379,1.0%,12.536,0.8%,12.724,0.8%,12.946,0.8%,13.217,0.7%,13.533,0.7%,13.883,0.7%,14.269,0.6%,14.7,0.6%,15.174,0.6%,15.687,0.6%,16.241,0.6%,16.83,0.5%,42.462,1.2%,43.126,1.1%,73.833,1.8%,74.575,1.7%,75.358,1.5%,76.184,1.4%,77.041,1.4%,107.937,1.8%,108.871,1.7%,109.844,1.6%,110.857,1.6%,111.905,1.5%,112.995,1.5%,114.12,1.5%,115.284,1.5%,,,,,
Errochty,12.67648,,0.03,0.0%,0.066,0.0%,0.108,0.0%,0.151,0.0%,0.199,0.0%,0.261,0.0%,0.331,0.0%,0.417,0.0%,0.515,0.0%,0.625,0.0%,0.748,0.0%,0.883,0.0%,1.033,0.0%,1.196,0.0%,1.369,0.0%,1.557,0.0%,1.966,0.1%,1.966,0.1%,2.187,0.1%,2.421,0.1%,2.669,0.1%,2.928,0.1%,3.199,0.1%,3.483,0.1%,3.778,0.1%,4.085,0.1%,4.403,0.1%,4.736,0.1%,5.079,0.1%,5.434,0.1%,5.802,0.1%,,,,,
Denny/Bonnybridge,48.05308,,75.946,7.5%,76.137,7.4%,76.438,7.1%,76.659,6.1%,76.9,5.1%,93.202,5.9%,93.557,5.5%,123.886,6.6%,124.383,6.2%,124.94,6.0%,125.55,5.6%,126.232,5.5%,126.985,5.4%,127.798,5.1%,158.573,5.6%,159.505,5.0%,210.402,5.9%,211.457,5.4%,212.574,5.1%,213.751,4.8%,224.89,4.5%,226.195,4.3%,227.556,4.0%,248.874,4.2%,250.352,3.9%,261.893,3.9%,282.495,4.1%,284.156,3.9%,285.878,3.8%,287.662,3.7%,291.849,3.7%,,,,,
Neilston,40.33216,,20.146,2.0%,20.329,2.0%,20.527,1.9%,20.741,1.7%,20.98,1.4%,21.273,1.3%,21.617,1.3%,22.042,1.2%,22.528,1.1%,23.072,1.1%,23.667,1.1%,24.331,1.1%,25.067,1.1%,25.862,1.0%,26.72,1.0%,27.634,0.9%,28.608,0.8%,48.637,1.3%,129.53,3.1%,130.678,2.9%,131.89,2.6%,133.167,2.5%,134.493,2.4%,135.883,2.3%,207.228,3.3%,208.739,3.1%,314.301,4.5%,315.924,4.4%,317.612,4.3%,419.357,5.5%,421.153,5.3%,,,,,
Strathaven,32.62527,,5.045,0.5%,5.102,0.5%,5.164,0.5%,5.228,0.4%,5.303,0.4%,5.393,0.3%,5.501,0.3%,5.63,0.3%,5.781,0.3%,5.949,0.3%,6.135,0.3%,6.339,0.3%,6.567,0.3%,6.812,0.3%,7.076,0.3%,7.357,0.2%,7.658,0.2%,7.979,0.2%,8.316,0.2%,8.672,0.2%,9.045,0.2%,9.44,0.2%,9.85,0.2%,10.278,0.2%,10.728,0.2%,11.192,0.2%,11.676,0.2%,12.177,0.2%,12.698,0.2%,13.236,0.2%,13.793,0.2%,,,,,
Torness,12.47125,,0.067,0.0%,0.152,0.0%,0.245,0.0%,0.342,0.0%,0.453,0.0%,0.587,0.0%,0.748,0.0%,0.942,0.1%,1.167,0.1%,1.418,0.1%,1.693,0.1%,2.001,0.1%,2.341,0.1%,2.707,0.1%,3.102,0.1%,3.524,0.1%,3.976,0.1%,4.452,0.1%,4.956,0.1%,5.486,0.1%,6.045,0.1%,6.635,0.1%,7.249,0.1%,7.889,0.1%,8.556,0.1%,9.254,0.1%,9.975,0.1%,10.725,0.1%,11.503,0.2%,12.309,0.2%,13.142,0.2%,,,,,
Eccles,18.13913,,0.04,0.0%,0.091,0.0%,0.146,0.0%,0.205,0.0%,0.271,0.0%,0.351,0.0%,0.448,0.0%,0.565,0.0%,0.7,0.0%,0.85,0.0%,1.016,0.0%,1.199,0.1%,1.402,0.1%,1.623,0.1%,1.86,0.1%,2.112,0.1%,2.382,0.1%,2.669,0.1%,2.97,0.1%,3.289,0.1%,3.624,0.1%,3.977,0.1%,4.345,0.1%,4.728,0.1%,5.129,0.1%,5.545,0.1%,5.979,0.1%,6.429,0.1%,6.895,0.1%,7.378,0.1%,7.876,0.1%,,,,,
Harker,20.87751,,10.592,1.0%,10.708,1.0%,10.835,1.0%,10.972,0.9%,11.124,0.7%,11.31,0.7%,11.53,0.7%,11.799,0.6%,12.111,0.6%,12.457,0.6%,12.838,0.6%,13.262,0.6%,13.73,0.6%,34.238,1.4%,34.781,1.2%,35.362,1.1%,35.984,1.0%,42.343,1.1%,43.039,1.0%,63.772,1.4%,64.541,1.3%,65.356,1.2%,66.203,1.2%,84.488,1.4%,85.409,1.3%,86.369,1.3%,92.168,1.3%,93.201,1.3%,94.277,1.3%,95.386,1.2%,96.536,1.2%,,,,,
