,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Beauly,24.58073,,163.917,2.5%,164.682,2.5%,165.448,2.5%,166.907,2.5%,168.395,2.5%,169.96,2.5%,171.869,2.5%,174.114,2.5%,176.459,2.5%,178.825,2.5%,181.92,2.6%,185.055,2.6%,188.269,2.6%,191.517,2.6%,194.83,2.6%,198.219,2.6%,201.703,2.6%,205.285,2.6%,208.912,2.6%,212.609,2.6%,216.349,2.6%,220.263,2.6%,224.223,2.6%,228.264,2.6%,232.366,2.6%,236.537,2.6%,240.872,2.6%,245.258,2.6%,249.732,2.6%,254.276,2.6%,258.921,2.6%,,,,,
Peterhead,29.07903,,302.274,4.7%,303.681,4.7%,305.09,4.7%,307.786,4.7%,310.502,4.7%,313.372,4.7%,316.878,4.7%,320.994,4.7%,325.33,4.7%,329.676,4.7%,335.322,4.7%,341.098,4.7%,346.943,4.7%,352.928,4.7%,359.012,4.7%,365.201,4.7%,371.607,4.7%,378.163,4.7%,384.826,4.7%,391.601,4.7%,398.505,4.7%,405.629,4.7%,412.925,4.7%,420.328,4.7%,427.852,4.7%,435.509,4.7%,443.461,4.7%,451.524,4.7%,459.717,4.7%,468.082,4.7%,476.593,4.7%,,,,,
Errochty,12.67648,,34.909,0.5%,35.07,0.5%,35.23,0.5%,35.53,0.5%,35.831,0.5%,36.151,0.5%,36.552,0.5%,37.012,0.5%,37.482,0.5%,37.972,0.5%,38.604,0.5%,39.235,0.5%,39.876,0.5%,40.536,0.5%,41.206,0.5%,41.888,0.5%,43.329,0.5%,43.329,0.5%,44.051,0.5%,44.802,0.5%,45.563,0.5%,46.362,0.5%,47.162,0.5%,47.985,0.5%,48.815,0.5%,49.667,0.5%,50.548,0.5%,51.44,0.5%,52.35,0.5%,53.28,0.5%,54.212,0.5%,,,,,
Denny/Bonnybridge,48.05308,,292.016,4.5%,293.443,4.5%,294.882,4.5%,297.704,4.5%,300.575,4.5%,303.513,4.5%,307.167,4.5%,311.584,4.6%,316.104,4.6%,320.665,4.6%,326.812,4.6%,333.033,4.6%,339.383,4.6%,345.865,4.6%,352.48,4.6%,359.212,4.6%,366.117,4.6%,373.16,4.6%,380.345,4.7%,387.649,4.7%,395.113,4.7%,402.75,4.7%,410.53,4.7%,418.488,4.7%,426.561,4.7%,434.824,4.7%,443.262,4.7%,451.874,4.7%,460.667,4.7%,469.617,4.7%,478.72,4.8%,,,,,
Neilston,40.33216,,513.29,7.9%,515.804,8.0%,518.315,8.0%,523.3,8.0%,528.329,8.0%,492.414,7.4%,498.386,7.4%,505.563,7.4%,512.918,7.4%,520.398,7.4%,530.358,7.4%,540.563,7.5%,550.944,7.5%,561.529,7.5%,572.327,7.5%,583.336,7.5%,594.614,7.5%,606.109,7.5%,617.824,7.6%,629.758,7.6%,641.931,7.6%,654.408,7.6%,667.104,7.6%,680.061,7.6%,693.258,7.7%,706.735,7.7%,720.53,7.7%,734.592,7.7%,748.893,7.7%,763.511,7.7%,778.399,7.7%,,,,,
Strathaven,32.62527,,95.797,1.5%,96.252,1.5%,96.718,1.5%,97.63,1.5%,98.521,1.5%,140.553,2.1%,142.157,2.1%,144.132,2.1%,146.14,2.1%,148.176,2.1%,150.863,2.1%,153.598,2.1%,156.395,2.1%,159.232,2.1%,162.138,2.1%,165.075,2.1%,168.112,2.1%,171.22,2.1%,174.368,2.1%,177.585,2.1%,180.853,2.1%,184.224,2.1%,187.661,2.1%,191.169,2.1%,194.718,2.1%,198.358,2.2%,202.09,2.2%,205.899,2.2%,209.769,2.2%,213.719,2.2%,217.731,2.2%,,,,,
Torness,12.47125,,49.323,0.8%,49.509,0.8%,49.685,0.8%,50.019,0.8%,50.342,0.8%,50.716,0.8%,51.149,0.8%,51.651,0.8%,52.17,0.8%,52.712,0.8%,53.371,0.7%,54.042,0.7%,54.723,0.7%,55.414,0.7%,56.113,0.7%,56.815,0.7%,57.572,0.7%,58.34,0.7%,59.12,0.7%,59.917,0.7%,60.714,0.7%,61.552,0.7%,62.428,0.7%,63.295,0.7%,64.191,0.7%,65.078,0.7%,66.042,0.7%,66.998,0.7%,67.973,0.7%,68.958,0.7%,69.961,0.7%,,,,,
Eccles,18.13913,,165.308,2.6%,166.126,2.6%,166.952,2.6%,168.607,2.6%,170.272,2.6%,171.957,2.6%,174.069,2.6%,176.651,2.6%,179.265,2.6%,181.926,2.6%,185.507,2.6%,189.17,2.6%,192.891,2.6%,196.694,2.6%,200.565,2.6%,204.516,2.6%,208.568,2.6%,212.666,2.6%,216.877,2.7%,221.157,2.7%,225.517,2.7%,229.976,2.7%,234.524,2.7%,239.172,2.7%,243.902,2.7%,248.73,2.7%,253.656,2.7%,258.683,2.7%,263.801,2.7%,269.027,2.7%,274.354,2.7%,,,,,
Harker,20.87751,,200.825,3.1%,201.794,3.1%,202.769,3.1%,204.702,3.1%,206.657,3.1%,208.661,3.1%,211.153,3.1%,214.153,3.1%,217.224,3.1%,220.335,3.1%,224.495,3.1%,228.726,3.2%,233.035,3.2%,237.426,3.2%,241.917,3.2%,246.477,3.2%,251.166,3.2%,255.954,3.2%,260.814,3.2%,265.773,3.2%,270.841,3.2%,276.027,3.2%,281.315,3.2%,286.722,3.2%,292.207,3.2%,297.806,3.2%,303.548,3.2%,309.404,3.2%,315.358,3.2%,321.443,3.2%,327.641,3.3%,,,,,
Stella West,145.95756,,576.139,8.9%,578.48,8.9%,580.829,8.9%,585.543,8.9%,590.297,8.9%,595.139,8.9%,601.187,8.9%,608.547,8.9%,616.031,8.9%,623.644,8.9%,633.857,8.9%,644.302,8.9%,654.934,8.9%,665.808,8.9%,676.882,8.9%,688.155,8.9%,699.694,8.9%,711.444,8.9%,723.461,8.9%,735.688,8.9%,748.157,8.9%,760.891,8.8%,773.896,8.8%,787.169,8.8%,800.654,8.8%,814.446,8.8%,828.534,8.8%,842.891,8.8%,857.539,8.8%,872.459,8.8%,887.665,8.8%,,,,,
Penwortham,103.36259,,137.942,2.1%,138.624,2.1%,139.296,2.1%,140.643,2.1%,142.01,2.1%,143.424,2.1%,145.157,2.1%,147.262,2.2%,149.419,2.2%,151.589,2.2%,154.518,2.2%,157.508,2.2%,160.547,2.2%,163.637,2.2%,166.816,2.2%,170.035,2.2%,173.331,2.2%,176.686,2.2%,180.122,2.2%,183.626,2.2%,187.202,2.2%,190.841,2.2%,194.574,2.2%,198.365,2.2%,202.216,2.2%,206.157,2.2%,210.203,2.2%,214.311,2.2%,218.507,2.2%,222.776,2.3%,227.131,2.3%,,,,,
Deeside,141.94391,,792.27,12.3%,794.992,12.3%,797.731,12.2%,803.206,12.2%,808.713,12.2%,814.334,12.2%,821.374,12.2%,829.895,12.1%,838.589,12.1%,847.386,12.1%,859.239,12.0%,871.326,12.0%,883.619,12.0%,896.194,11.9%,909.002,11.9%,922.045,11.9%,935.417,11.9%,949.018,11.8%,962.906,11.8%,977.087,11.8%,991.506,11.7%,1006.291,11.7%,1021.338,11.7%,1036.694,11.6%,1052.338,11.6%,1068.284,11.6%,1084.615,11.6%,1101.235,11.5%,1118.197,11.5%,1135.486,11.5%,1153.138,11.5%,,,,,
Daines,151.98015,,138.422,2.1%,139.11,2.1%,139.799,2.1%,141.169,2.1%,142.558,2.2%,143.967,2.2%,145.735,2.2%,147.876,2.2%,150.064,2.2%,152.273,2.2%,155.261,2.2%,158.299,2.2%,161.398,2.2%,164.558,2.2%,167.774,2.2%,171.064,2.2%,174.422,2.2%,177.852,2.2%,181.338,2.2%,184.906,2.2%,188.535,2.2%,192.254,2.2%,196.042,2.2%,199.9,2.2%,203.837,2.2%,207.856,2.3%,211.953,2.3%,216.142,2.3%,220.398,2.3%,224.757,2.3%,229.183,2.3%,,,,,
Th. Marsh/Stocksbridge,161.59842,,203.337,3.1%,204.324,3.1%,205.301,3.2%,207.276,3.2%,209.252,3.2%,211.287,3.2%,213.81,3.2%,216.832,3.2%,219.944,3.2%,223.107,3.2%,227.317,3.2%,231.591,3.2%,235.962,3.2%,240.413,3.2%,244.955,3.2%,249.578,3.2%,254.33,3.2%,259.179,3.2%,264.098,3.2%,269.12,3.2%,274.25,3.2%,279.509,3.2%,284.887,3.3%,290.327,3.3%,295.885,3.3%,301.555,3.3%,307.382,3.3%,313.308,3.3%,319.365,3.3%,325.523,3.3%,331.779,3.3%,,,,,
