Site Name,Turbine Capacity (MW),No. of Turbines,x,y
Beatrice Demonstrator,5,2.0,-2.888437244661485,58.25279784092401
Burbo Bank,3.6,25.0,-3.18492140786163,53.48819956865553
Gunfleet Sands - (Demo) Extension,6,2.0,1.1919366795767974,51.703019323565805
Gunfleet Sands II ,3.6,18.0,1.2459544359963255,51.72719981099831
Gunfleet Sands Offshore Wind Scheme,3.6,30.0,1.2180423817108657,51.73082839770121
Inner Dowsing ,3.6,27.0,0.44652202827663684,53.18799421519314
Kentish Flats ,3,30.0,1.0938459828704392,51.46061734034752
Lynn,3.6,27.0,0.4515306873511254,53.13566133425695
North Hoyle ,2,30.0,-3.448574925126993,53.41726319691503
Rhyl Flats ,3.6,25.0,-3.6401530938508504,53.377603762057035
Robin Rigg East,3,30.0,-3.6955199494795896,54.76420189464918
Robin Rigg West,3,28.0,-3.729306197774503,54.74731329721912
Scroby Sands ,2,30.0,1.788925610728897,52.64397317242634
Thanet ,3,100.0,1.6334384760222624,51.4299405156453
Walney 1,3.6,51.0,-3.515784797641542,54.03945934496972
Kentish Flats 2,3.3,15.0,1.0800283260905175,51.44999897884479
Walney 2,3.6,51.0,-3.6089624952049952,54.08074698216456
Ormonde Offshore,5,30.0,-3.4385861332608365,54.08888159217796
Greater Gabbard Wind Farm,3.6,140.0,1.9284545913390192,51.9176599150928
London Array Phase 1,3.6,175.0,1.4958589827846105,51.62168982287111
Sheringham Shoal ,3.6,88.0,1.1479336602080148,53.13534561143356
Centrica (Lincs),3.6,75.0,0.498081581456785,53.184199434008484
Teeside Offshore Wind Farm,2.3,27.0,-1.0954793236691198,54.64530732136128
West of Duddon Sands,3.6,108.0,-3.4620036502091103,53.98516055197439
Levenmouth demonstration turbine (Fife Energy Park),6,1.0,-2.95796549072554,56.16068735253878
Gwynt y Mor ,3.6,160.0,-3.626650283344548,53.45401958404699
Humber Gateway A,3,73.0,0.500644501021264,53.3874887062991
Westermost Rough A,6,35.0,0.5614872573164182,53.09775739785689
Barrow ,3,30.0,-3.2982802003185383,53.991471669009066
