Site Name,Turbine Capacity (MW),No. of Turbines,x,y
South Beach Wind Turbine (Somerton),1.47,1.0,1.6544854101972124,52.709921100151156
Swaffham 1 - Ecotech Wind Park,1.47,1.0,0.6832876238004063,52.65675165037406
Mynydd Gorddu Wind Farm,0.54,19.0,-3.9710104813841216,52.466311709854615
Cefn Croes Wind Farm,1.5,39.0,-3.750700455730508,52.40504175192218
Carno 'B' Wind Farm,0.6,28.0,-3.608170528263673,52.54944669463634
Carno 'A' Wind Farm,0.6,28.0,-3.5791983804238723,52.54232059844244
Cemmaes 'B' Wind Farm,0.56,6.0,-3.6720752924571327,52.65792531248375
Trysglwyn Wind Farm,0.4,14.0,-4.346474131137151,53.37477774000936
Hafoty Ucha '2' and '3' Wind Turbine,0.85,3.0,-3.5882600568314142,52.9962174791216
Royal Seaforth Dock Wind Farm,0.5,6.0,-3.0393086529661657,53.46523059057527
Cemmaes 'C' Wind Farm,0.85,18.0,-3.674343988950467,52.63991182694869
Llanbabo Wind Farm,2.25,9.0,-4.4655730050137965,53.35439341725695
Tow Law Wind Farm,0.9,3.0,-1.8228103606655501,54.76381174081884
Kirkheaton Wind Farm,0.6,3.0,-1.9890128579608801,55.086544859832856
Great Eppleton Wind Farm,0.75,4.0,-1.4271708691295713,54.82729468889454
Great Orton Wind Farm (Extension),0.4,6.0,-3.0720437424670397,54.87063822190272
Harlock Hill Wind Farm,0.5,5.0,-3.1467153830448833,54.20488829146405
Wharrels Hill Wind Farm,1.3,8.0,-3.2746473028037872,54.72308836149216
Siddick Wind Farm,0.6,7.0,-3.5429564743968527,54.67413302316596
Oldside Wind Farm,0.6,9.0,-3.556357567064809,54.659581405323976
Haverigg Extension Wind Farm,0.6,4.0,-3.3245323270495803,54.203963061431395
Blaen Bowi Wind Farm,1.3,3.0,-4.4412757540769325,51.99712316696664
Parc-Cynog Wind Farm,0.7,5.0,-4.5297347665932435,51.75693934936129
Moel Maelogen A,1.3,2.0,-3.724979637134551,53.136357825205984
Out Newton Wind Farm,1.3,7.0,0.09943741120625602,53.66887757328532
Brockholes Wind Cluster,0.8,3.0,-2.287913212460201,55.866594663958416
Kilbraur Windfarm Farlary - Extension,2.5,8.0,-3.978666434235866,57.99237015013646
Maesgwyn,2,13.0,-3.659567395986811,51.736480353342884
Spicer Hill Wind Farm,2.3,3.0,-1.6921638788834836,53.536770177395475
Ford Motor Company Ltd (Extension),2,1.0,0.15047705545577314,51.528680089921686
FMC Technologies,0.75,2.0,-3.4465911057415184,56.05643751081849
Boyndie Airfield Extension,2.3,1.0,-2.6518221368291823,57.66064902712615
Blue Gates Farm,1.5,1.0,1.0042447790127953,51.863100727179614
Celcon Blocks Ltd,2,1.0,-1.0841367155876254,53.67698623818962
Hammar's Hill,0.9,5.0,-3.072668171403998,59.095730244157224
"F M C Land, Pitreavie Business Park",1.5,1.0,-3.444331222422499,56.05397503983349
Strath of Brydock - Extension,1.3,1.0,-2.581132863291914,57.626150953548674
Hare Hill (East Ayrshire),0.66,20.0,-4.126272406969973,55.36280783534688
Kirkby Moor,0.4,12.0,-3.1357260631291224,54.25749933587892
Bambers II,0.76,6.0,0.23842435119638294,53.3213105464332
Millennium Extension II,2.5,6.0,-4.883633893715725,57.15520879293474
Cairnmore Farm,0.85,3.0,-2.8137096488548408,57.31526363022392
St Fergus Moss Wind Farm,2,3.0,-1.9111161585840857,57.57196453422786
"West Hill, Flotta",2,1.0,-3.1230984431787108,58.826958259270334
Chelker Reservoir (Retention of Turbines),0.3,4.0,-1.91415834037113,53.96244662225525
Whitelee Windfarm Extension phase 2,3,39.0,-4.317616027651367,55.63942604211154
Hill of Balquhindachy extension,0.85,2.0,-2.241045564614272,57.4723549888483
Taff Ely Wind Farm,0.45,20.0,-3.464825943322397,51.569392458861365
Mossmorran Wind Farm,2,2.0,-3.3176980889500522,56.09051530741639
Courtstone Wind Turbine,2.3,1.0,-2.2609636158276936,57.391965509303674
Lairg Wind Farm,2.5,3.0,-4.34870333420736,58.002712874293735
G24 Innovations Turbine,2.3,1.0,-3.104223731815649,51.50666291678582
Mornflake Oats Wind Turbine,2.3,1.0,-2.6461598878436194,57.65984272027419
Clochnahill Wind Farm,1.3,4.0,-2.2906163078915975,56.933461753903174
St John Hill,2.5,3.0,-2.2724319044107033,56.89353606679478
MARCH SEWAGE TREATMENT WORKS - WIND TURBINE,2,1.0,0.12149625838226205,52.57135661926372
Burnfoot Hill,2,13.0,-3.772778925452426,56.209103387601935
Chelker Reservoir,0.3,4.0,-1.91415834037113,53.96244662225525
Strath of Brydock,1.3,2.0,-2.581132863291914,57.626150953548674
House O'Hill,1.67,3.0,-2.0425148566933142,57.62191202254149
Bagmoor,2,8.0,-0.6672026980111342,53.62772599884711
Croda Chemicals Europe,3,1.0,-1.0072116466208287,53.68235142261133
"Eastman Chemicals, Workington",2,2.0,-3.540129832021793,54.67115811117264
Lindhurst Wind Farm,3,5.0,-1.1515994567678298,53.117522364878056
Craigengelt,2.5,8.0,-4.049655466865017,56.05425302601257
Saltend Wind Turbine,1.3,1.0,-0.23649354113670415,53.74441097492506
Loftsome Bridge,1,2.0,-0.9376583329130889,53.75680954544339
Nissan Wind Farm,0.66,6.0,-1.4807731898383436,54.913894395615465
Parc Cynog Extension,1.3,6.0,-4.533773471527701,51.7591905847398
Ranson Moor (phase 1),2,3.0,0.03139552800975286,52.512686400580094
Ranson Moor Wind Farm (Phase 2),2,2.0,0.037341598857946454,52.51060605775015
West Durham Wind Farm,2,12.0,-1.815039879962475,54.76380010160926
Dyffryn Brodyn Wind Farm,0.5,11.0,-4.590744132880209,51.91119262313392
North Red Bog,0.8,2.0,-2.0091065570421485,57.58762432541307
Milton Keynes Wind Farm,2,7.0,-0.6865249410774945,52.132803420602364
Broom Hill Farm,2,4.0,-1.7607262866902924,54.75022546894834
Winscales Moor,0.85,7.0,-3.496812750555534,54.642356173976744
Wind Farm Africa Alive,2.05,2.0,1.7028599106789082,52.414819113650736
Beinn Tharsuinn Extension (Beinn nan Oighrean),2.3,2.0,-4.2481513311879375,57.78820953999691
St John's Well,0.8,3.0,-2.3252038713921515,57.42660587381122
Hellrigg Wind farm - Resubmission,2.5,4.0,-3.3475211997967533,54.85328904387072
Bryn titli Windfarm,0.45,22.0,-3.56559963599198,52.367178340082084
Delabole (Repowering),2.3,4.0,-4.705342713735179,50.637742701748
Whittlesey,3,3.0,-0.17191333654789728,52.55798201009631
Advanced Manufacturing Research Centre,1.3,2.0,-1.3778690175484056,53.38758893738215
Solutia UK Ltd,2.5,2.0,-2.9626224105554884,51.56658230103825
High Haswell Wind Farm,2,2.0,-1.4312315896929317,54.78752133038801
Llandinam Windfarm,0.3,103.0,-3.430835959614459,52.442117973221535
Goonhilly Downs Wind Farm Repower,2,6.0,-5.200264163313075,50.050349719008345
MSD Cramlington,2,2.0,-1.6221807964002428,55.103501888711
Skelmonae Wind Farm,0.9,4.0,-2.1897597094219248,57.42081077057894
Carn Vean,2,5.0,-5.187510836093991,50.17989457946357
Dewlay Cheese Wind Turbine,2,1.0,-2.7859470537371953,53.88827030490375
Coal Clough Wind Farm,0.4,24.0,-2.149984552779485,53.74967609613866
Myres Hill,0.9,2.0,-4.279029841877766,55.69185428022401
High Sharpley Wind Farm,1.3,2.0,-1.3375487168616957,54.8403354449707
National Wind Turbine Test Site,2.3,2.0,-4.284371077002163,55.690676490904345
Little Cheyne Court Wind Farm,2.3,26.0,0.8227708731262825,50.963821583948445
Long Hill Road,2,1.0,0.0893207493483932,52.573115803796426
Ness point Wind Turbine 1,2.3,1.0,1.7610413370807378,52.48044371748703
Causeymire,2,24.0,-3.0854289651795974,58.44345543992383
Hadyard Hill,2.3,52.0,-4.731885673738247,55.256828216257794
Hare Hill (B),1.35,2.0,-1.4151224419498776,54.76159032854591
Crystal Rig Phase 1,2.5,25.0,-2.507512099486494,55.88294699331204
Black Law,2.3,54.0,-3.762557455370644,55.76218684984043
Ardrossan,2,12.0,-4.806119204502039,55.64389748659588
Braes O'Doune,2,36.0,-4.058929330100251,56.269820737164146
Thorfinn Wind Farm - NM1500,1.5,1.0,-3.14383522662667,59.11310204178804
Boulfruich,0.85,15.0,-3.4433610469140126,58.29992380136411
Bicker Fen,2,13.0,-0.21780647157183897,52.937967473985665
Stags Holt,2,9.0,0.12330935620838977,52.569786576390605
Glass Moor,2,8.0,-0.10878259250920565,52.51857950962952
Gedney Marsh,2,6.0,0.106790149217531,52.83619016584897
Ben Aketil,2.3,10.0,-6.458326494988297,57.429781067390614
Knabs Ridge Windfarm,2,8.0,-1.6495806338726053,53.99905145192452
Kelburn,2,14.0,-4.806219454236998,55.75625639437186
Ramsey 1,1.8,1.0,-0.10627599187237835,52.446905805488264
Bambers Farm,0.6,8.0,0.23842435119638294,53.3213105464332
Ford Wind Park - Dagenham,2.96,2.0,0.15085730764522912,51.51869101072058
Swaffham Plashes II,1.79,1.0,0.7007220033745188,52.65770428152689
Shooters Bottom Wind Park,2,1.0,-2.5834423919728002,51.25436459307263
Caton Moor Windfarm Repowering,2,8.0,-2.654015963459211,54.06983159818329
Moel Maelogen A Phase 2,1.3,8.0,-3.724979637134551,53.136357825205984
Scout Moor Windfarm,2.5,26.0,-2.267857429332416,53.6689922566853
The Haven,1.2,1.0,-2.318407958361683,52.128986687117674
The Hollies,1.3,2.0,0.24110778714980086,53.14304559869487
Tullo Farm,2.5,7.0,-2.210765842218969,56.963895346645856
Avonmouth Port,2,3.0,-2.702732259713012,51.5166317425082
Dummuie,1.75,7.0,-2.691513549660174,57.45108841082381
Earlsburn,2.5,14.0,-4.095504086286169,56.07080032728203
Kilbraur Windfarm,2.5,19.0,-4.058808763827161,58.040385834746345
Achany Wind Farm,2,19.0,-4.500010992670577,58.001930035926925
Bilbster Wind Farm,1.3,3.0,-3.2498399848181725,58.448820524086095
Green Park,2,1.0,-0.9855048944695449,51.418998788671445
Carcant Windfarm,2,3.0,-3.017559762640865,55.76477329014773
Butterwick Moor,2.05,10.0,-1.3969194637909768,54.66359136830709
Hagshaw Hill Wind Farm Extension,1.3,20.0,-3.920308016079694,55.56660414906231
Southern Law,1.3,4.0,-1.434862946944985,54.72218764077531
Llangwyryfon,0.85,11.0,-4.029168551829867,52.30686864678651
Pates Hill,2,7.0,-3.611312258814277,55.81638292966281
Roskrow Wind Turbines,0.85,2.0,-5.131693534911947,50.17726642888022
Greendykeside,2,2.0,-3.903207259924247,55.91198897207226
Loscar Farm,1.3,3.0,-1.2359611030689386,53.314507147995094
Langley Moor,2,4.0,-1.675811219495349,54.82374557199758
Arecleoch Windfarm,2,60.0,-4.7970334903968155,55.06879199730967
Mark Hill,2.3,24.0,-4.7462912905504675,55.12837945660104
Westmill Wind Farm,1.3,5.0,-1.666050018502155,51.61577887366277
Lodge Farm 1,1,1.0,-5.060969737740633,51.72631152689302
"Carno 'A'and 'B' Wind Farm, (Extension)",1.3,12.0,-3.5791983804238723,52.54232059844244
Achairn,2.05,3.0,-3.2015127398564203,58.43850402037601
High Hedley Hope 2 (Extension),1.3,4.0,-1.757538626073484,54.763698862405974
Beinn an Tuirc,0.37,46.0,-5.587316336093409,55.573168314504635
Cnoc Donn Arnicle,0.57,26.0,-5.568101349792744,55.58002382733819
Beinn Ghlas Wind Farm,0.55,14.0,-5.297692743085087,56.382333905877424
"Bendealt Wind Farm, Highland",0.5,18.0,-4.426655058142007,57.70548292244496
Meall an Tuirc Wind Farm,0,34.0,-4.426955442227026,57.70996997120584
An Suidhe,0.9,23.0,-5.219344564836096,56.21865465518277
Roughside Hill,1.25,24.0,-3.0677118740920863,55.704594325246994
Bowbeat Wind Farm,1.3,24.0,-3.122137487254553,55.71579013826621
Hagshaw Hill Wind Farm,0.6,13.0,-3.9200730770305405,55.555284253939746
Arnish Moor,1.3,3.0,-6.4383277377127035,58.176607048931764
Burgar Hill,2.5,2.0,-3.1492232219807046,59.11754496164541
Thorfinn Wind Farm - NM2000,1.15,2.0,-3.1403807935217367,59.1090011570016
Hill of Lybster,1.3,4.0,-3.688144262286459,58.60234524430336
Burradale Hill,0.75,5.0,-1.2360612355438367,60.16476399511708
Glens of Foudland,1.3,20.0,-2.636076774992235,57.42533029529562
Castle Pill - Repowering,0.8,4.0,-5.012832018397999,51.72004565149604
New Holland,0.5,2.0,-2.8689108671325316,58.913289642738526
Weston Airfield Wind Turbines,1.8,2.0,1.0915669161035,52.69528105380711
PROMISED LAND FARM,0.5,2.0,-2.7378052375208197,53.511346459384974
Nethercott Farm,0.5,3.0,-4.335390342701092,50.744245936231835
Bonerbo Wind Turbines (resubmission),0.5,3.0,-2.7466898477986317,56.25942936577457
Princes Gate Spring Water,0.8,2.0,-4.684453163118244,51.771960823505125
Phase 1 Bettyhill Wind Farm,2.5,2.0,-4.194703036904493,58.53557825185976
Sibelco Brassington,2.5,1.0,-1.6283783066105326,53.090956172814565
Lambrigg Wind Farm,1.3,5.0,-2.6351421167668105,54.33629436799369
Askam,0.66,7.0,-3.1813781266634047,54.18388089721125
Bears Down Wind Farm,0.6,16.0,-4.955670152297265,50.47028126720194
Droop Hill Wind Farm x,2.3,2.0,-2.4006775044771484,56.92288994719578
Denhill,2.3,1.0,-2.341029231786927,57.41114073953978
Haddo,2.3,2.0,-2.3076037491715837,57.42870711332883
Gairnieston Farm,2.3,1.0,-2.424052172256242,57.59357710946116
"Burgar Hill (land Near), Evie",2.5,1.0,-3.1492232219807046,59.11754496164541
Tod Hill Farm Wind Turbines,3,4.0,-3.8621096346093,56.032487709489466
Royd Moor,0.45,13.0,-1.6695666633880695,53.532216318666265
Stroupster Wind Farm - additional turbine,2.3,1.0,-3.1369766076541876,58.57189064460902
Little Belhus Restoration Site,0.5,2.0,0.27766296081229064,51.5224841802101
Crystal Rig Wind Farm Phase 2a,2.3,60.0,-2.52931730313775,55.89947729601451
Clachan Flats Wind Farm,1.67,9.0,-4.942870934042427,56.28808260752934
Fen Farm,0.8,20.0,0.0690355289907057,53.423306297319634
Darracott Moor,0.85,3.0,-4.5130448677061805,50.929874175413396
Lochhead Farm,2,3.0,-3.9823359302129093,55.69592783724543
Toddleburn,2.3,12.0,-2.877395194237252,55.768549688888996
Crimp Wind Farm - resubmission,0.8,3.0,-4.488176411990857,50.91192367727894
Hedley Hope,0.8,3.0,-1.757538626073484,54.763698862405974
Tangy Wind Farm/Tangy 1,0.85,15.0,-5.666546982990207,55.49528901286012
Coldham Hall,1.75,8.0,0.11493078891102775,52.602979901289096
Whitemill Wind Farm,2,7.0,0.1406516791426582,52.59258215762664
Green Knowes,1.5,18.0,-3.6662530373977247,56.24922341165846
Whitelee,2.3,140.0,-4.27904637315945,55.681203804938185
Great Orton,0.66,6.0,-3.0767414785270564,54.87149533707308
Winscales Phase I and II,0.8,11.0,-3.504059853621732,54.62878494421924
Holmside Hall,1.37,2.0,-1.6776176869301982,54.8470879531877
High Volts Wind Farm,1.83,3.0,-1.3002845411101485,54.69362721670788
Hare Hill,1.3,1.0,-1.4151224419498776,54.76159032854591
Great Eppleton Farm Repowering,2,4.0,-1.4271708691295713,54.82729468889454
Haswell Moor,2,5.0,-1.4096223794432297,54.76578741459698
Worksop - B&Q,2,1.0,-1.0757460088991175,53.29977177492997
Cold Northcott,0.3,22.0,-4.546782998681051,50.64550105278904
Upper Ardgrain Wind Farm,0.8,3.0,-2.059769831164054,57.40635213199894
Rothiesholm,0.9,3.0,-2.6600831048620663,59.09724704006008
Hill of Easterton,2.5,1.0,-2.3932853565758934,57.376090690166286
Port of Liverpool - wind,2.5,4.0,-3.0049574796230356,53.44961431467585
Rothes Wind (Cairn Uish),2.3,22.0,-3.362955792323602,57.53724853040639
Crystal Rig Extension II,2.3,9.0,-2.545497315731796,55.91288372331445
Glenkerie Wind Farm,2,11.0,-3.4204917886775106,55.53852457613511
Lissett Airfield Wind Farm,2.5,12.0,-0.28854040908613393,54.00709661272975
Methlick Farmers Wind Energy Project,2,6.0,-2.2431160747544077,57.42759961884835
Rheidol Wind Farm,0.3,8.0,-3.877237741123904,52.40759544460118
Deucheran Hill,1.75,9.0,-5.543975164448684,55.62927743690975
Bryn Du,0.42,39.0,-3.7069695142948342,52.41467240440533
Dun Law,0.66,26.0,-2.8460362887104083,55.8064537254672
Black Hill (Borders),1.3,22.0,-2.432249986331245,55.799224984829614
Four Burrows Wind Farm,0.3,15.0,-5.1374081773967895,50.28893292852338
Dun Law Extension,0.85,35.0,-2.8423091098204587,55.78679259973498
Lochelbank Wind Farm II,0.8,12.0,-3.4328770896265532,56.3054019127161
Cruach Mhor,0.95,35.0,-5.155906818029385,56.03903402430028
Wern Ddu Wind Farm,2.3,4.0,-3.405933393385762,53.02548390850506
"Hagshaw Hill (S15) Wind Farm, Lanarkshire",0.6,13.0,-3.9203151004863237,55.555370330421866
Muirake,2.3,2.0,-2.724397513599975,57.61134405870486
Millennium Extension,2.5,4.0,-4.891163247195042,57.150182027064275
Rusholme Wind Farm,2,12.0,-0.9480274091161495,53.73029481191445
Longpark,2,19.0,-2.827473202205182,55.669159310119944
Walkway,2,7.0,-1.3969194637909768,54.66359136830709
Coldham,2,8.0,0.09510555038158096,52.59726322759092
Red Tile,2,12.0,-0.02922049482875158,52.43055003688151
Deeping St Nicholas Wind Farm,2,8.0,-0.22567060918132284,52.732612008451
Lowca Wind Farm,0.67,7.0,-3.5710110580217895,54.59737646446632
Fairfield Farm,1.3,5.0,-3.5203814468644437,54.5787800626056
Haverigg Repowering (Haverigg II),0.22,5.0,-3.3245323270495803,54.203963061431395
Moy Wind Farm (2nd Application),3.3,20.0,-4.048800369088404,57.388818363819084
Rosehill Wind Turbines,0.8,3.0,-3.8280555721247285,56.05497765931433
Twin Rivers,2.05,14.0,-0.9050415546160111,53.60820419699798
Blyth Harbour Wind Farm,0.3,9.0,-1.4952049717070008,55.12544430475417
Penrhys Wind Farm/Ferndale Power Factory,0.8,8.0,-3.451180683632524,51.65111765336785
Gordonbush,2,35.0,-3.95905511518099,58.05947956659003
Avonmouth Wind Power,2.05,4.0,-2.6735016078217613,51.51152542930752
Gordonstown Hill Wind Farm,2.5,5.0,-2.4827641075154747,57.461905847553695
The Rosti Factory,2.2,1.0,-3.9606074201851023,55.72465742247519
Ben Aketil Extension,1.3,2.0,-6.458326494988297,57.429781067390614
Lochcarnan Community Windfarm,2.3,3.0,-7.347855872207503,57.23371056877364
The Grange Wind Farm,2,7.0,0.16617152769006818,52.750637188161015
Humphrey Group,2.5,2.0,1.1266534293773254,52.33670629244225
Boundary Lane,2,3.0,-1.928216141716388,54.84781706923039
Nutberry Wind Farm,2.5,6.0,-3.9215809554940613,55.59949437084026
Penny Hill Lane,3.3,6.0,-1.2974966096543408,53.383440997034604
West Knock Wind Cluster,0.8,3.0,-2.0267808942472367,57.49376439871605
Low Spinney Wind Farm,2,4.0,-1.179154004400641,52.502414958214175
Westfield,2.5,5.0,-3.294929855631829,56.14527874676789
Swinford Wind Farm,0.4,11.0,-1.1663069217493107,52.41190038487539
Burnt House Farm,2,3.0,-0.03370652447544453,52.5372713978468
Calder Water Community Wind Farm,2,14.0,-4.211848736374962,55.63743393113877
Millour Hill Community Windfarm (Re-submission),3,6.0,-4.775026443536746,55.73071784168469
Netherton of Windyhills,2.3,2.0,-2.8558982599598584,57.60273360344442
Gallowhill,0.9,2.0,-2.982191731705671,59.276556783878995
Frodsham Marsh,2.65,19.0,-2.7688588101626332,53.30063302352344
Greenhill Croft,2.3,2.0,-2.201071229399254,57.5945960564023
Severn Trent STW,2.5,1.0,-1.1178705926068981,52.69806639726384
Spaldington Airfield,2.5,5.0,-0.7997805141218092,53.795238542702286
"Hillhead of Auquhirie, Resubmission",2.3,3.0,-3.177208620848688,56.955183442521395
Middleton Wind Farm,2,6.0,-4.342602710834333,55.775132783144024
Orchard End (Resubmission),2,2.0,-2.8656743758477417,53.90015190614401
Mynydd Bwllfa Wind Farm - Resubmission,2.5,9.0,-3.509857776069293,51.714715582969916
Castle of Auchry Farm,0.8,3.0,-2.447690331605366,57.28274832986945
Little Byth,1.5,3.0,-2.290098552931017,57.60697150460127
Yonderton Farm,0.5,2.0,-1.9418997549949149,57.43082208169254
Oakdale Business Park,2,2.0,-3.1714025749521366,51.68691679555172
Boddington Reservoir,1.5,1.0,-1.2793036425583104,52.174177240797555
HMP Standford Hill,2.3,2.0,0.8509060182617405,51.39496128663991
Sancton Hill - Resubmission,2,5.0,-0.6099358235712867,53.84514255738001
Port of Sheerness Wind Farm (was Lappel Bank),2.05,4.0,0.7479028091109342,51.44304900910744
Stonish Hill Re-submission (Bilsthorpe),2,5.0,-1.0145654938709847,53.151077654157895
Stags Holt Extension,2,1.0,0.12330935620838977,52.569786576390605
Glenurquhart and Strathglass Wind Farm project,2,5.0,-4.751096632235656,57.27906464203315
Damhead Farm,2.5,1.0,-3.933483691353893,55.853904087855284
Hyndburn Wind Farm,2,12.0,-2.388995875543265,53.71432848655932
