Site Name,Expected Operational,Installed Capacity (MWelec),Turbine Capacity (MW),No. of Turbines,x,y
East Anglia 3 (EA 3),01/01/2027,1400.0,7.0,172,2.1709380127595743,52.13745878428783
Hornsea 3,01/01/2030,2400.0,8.0,231,1.4207369420925584,53.68156264281662
The East Anglia Array - Norfolk Vanguard,01/09/2026,1800.0,11.39,158,2.5499934457031945,52.619996822351204
Hornsea 2 - Optimus and Breesea,01/01/2023,1400.0,8.48,165,1.5399808694092165,53.96001658325872
Dogger Bank C (was Teesside A),01/01/2027,1200.0,12.0,100,2.3299448690765336,55.20999931177483
Inch Cape,01/01/2026,784.0,7.12,72,-2.2000123966163585,56.49998517153176
Triton Knoll ,01/09/2021,857.0,9.5,90,0.8616472257776088,53.21229917143556
MacColl Offshore Windfarm (Moray East),01/03/2022,313.5,9.5,33,-2.790541664508231,57.9673096073888
Telford Offshore Windfarm (Moray East),01/03/2022,313.5,9.5,33,-2.790546035681059,58.211217316512084
Stevenson Offshore Windfarm (Moray East),01/03/2022,323.0,9.5,34,-3.158582909540124,58.054610815122935
Seagreen Phase 1 (Alpha),01/09/2023,525.0,9.2,57,-1.9266340245009441,56.6355008198965
Dogger Bank A & B (was Creyke Beck A & B),01/01/2026,2400.0,12.0,200,1.667874154571035,55.96733703976129
Forth of Firth (Methil),01/01/2030,29.9,6.0,2,-2.9974142410897455,56.15514604544226
Kincardine Offshore Windfarm,01/03/2021,50.0,6.0,8,-1.873812938283836,56.997266009646246
Moray Firth 2 (West),01/01/2030,850.0,10.0,85,-3.3130712571840957,58.06987356855075
Dounreay Trì Floating Wind Demonstration,01/01/2030,10.0,5.0,2,-3.8768117477987882,58.69833704774238
Neart na Gaoithe (Resubmission),01/09/2022,450.0,8.0,54,-2.2500075764506704,56.26999265593595
The East Anglia Array - Norfolk Boreas,01/09/2026,1800.0,5.0,360,2.5499934457031945,52.619996822351204
Sofia (Teesside B),01/01/2026,1400.0,14.0,100,2.3299448690765336,55.20999931177483
