Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Expected Operational,Technology Type,Installed Capacity (MWelec),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref
06/08/2020,Scottish Power Renewables/Vattenfall/OPR,East Anglia 3 (EA 3),01/01/2027,Wind Offshore,1400,7,172,247,Planning Permission Granted,Awaiting Construction,"East Anglia Offshore Wind Three, Underground Cabling Between Bramford And Bawdsey, Lowestoft",Offshore,Offshore,England,,685500,257000,DECC (S36),EN010056,,,,,3,18/11/2015,,,,,,,07/08/2017,,,,,,,
17/09/2020,Orsted (formerly Dong Energy),Hornsea 3,01/01/2030,Wind Offshore,2400,8,231,,Planning Application Submitted,Application Submitted,,Offshore,Offshore,England,,626000,426000,DECC (S36),,,,,,3,16/05/2018,,,,,,,,,,,,,,
24/09/2020,Vattenfall/Scottish Power Renewables,The East Anglia Array - Norfolk Vanguard,01/09/2026,Wind Offshore,1800,11.39,158,350,Planning Permission Granted,Awaiting Construction,"North Sea, off the East Anglia coast",Offshore,Offshore,England,,708047,312194,DECC (S36),,,,,,3,11/07/2018,,,,,,,01/07/2020,,,,01/07/2025,,,
03/09/2020,Orsted (formerly Dong Energy),Hornsea 2 - Optimus and Breesea,01/01/2023,Wind Offshore,1400,8.48,165,,Under Construction,Under Construction,,Offshore,Offshore,England,,632326,457349,The Planning Inspectorate - National Infrastructure,,,,,,3,30/01/2015,,,,,,,16/08/2016,,,,,01/09/2019,,
22/09/2020,"SSE/Equinor (formerly Statoil, formerly Forewind)",Dogger Bank C (was Teesside A),01/01/2027,Wind Offshore,1200,12,100,260,Planning Permission Granted,Awaiting Construction,125km off coast of Yorkshire,Offshore,Offshore,England,,675550,599192,The Planning Inspectorate - National Infrastructure,,,,,,3,28/03/2014,,,,,,,05/08/2015,,,,,,,
02/07/2020,Red Rock Power (ICOL),Inch Cape,01/01/2026,Wind Offshore,784,7.12,72,250,Planning Permission Granted,Awaiting Construction,Offshore - Scottish Borders (15-22 KM off the east Angus coastline),Offshore,Offshore,Scotland,,387786,734231,Marine Scotland,,,,,,STW,04/07/2013,,,,,,,16/05/2017,,,,,,,
03/09/2020,Innogy,Triton Knoll ,01/09/2021,Wind Offshore,857,9.5,90,187,Under Construction,Under Construction,"Greater Wash region, approximately 33km off the Lincolnshire coast",Offshore,Offshore,England,,591183,372179,The Planning Inspectorate - National Infrastructure,,,,,,2,24/02/2012,,,,,,,11/07/2013,,,,,10/09/2018,,
03/09/2020,Moray East (formerly MORL)/ EDPR,MacColl Offshore Windfarm (Moray East),01/03/2022,Wind Offshore,313.5,9.5,33,,Under Construction,Under Construction,"Smith Bank, Moray Firth - 13miles off Lybster",Offshore,Offshore,Scotland,,353328,897834,Scottish Government (S36),,,,,,3,28/08/2012,,,,,,,19/03/2014,,,,,06/06/2019,,
03/09/2020,Moray East (formerly MORL)/ EDPR,Telford Offshore Windfarm (Moray East),01/03/2022,Wind Offshore,313.5,9.5,33,,Under Construction,Under Construction,"Smith Bank, Moray Firth - 13miles off Lybster",Offshore,Offshore,Scotland,,353646,924989,Scottish Government (S36),,,,,,3,28/08/2012,,,,,,,19/03/2014,,,,,06/06/2019,,
03/09/2020,Moray East (formerly MORL)/ EDPR,Stevenson Offshore Windfarm (Moray East),01/03/2022,Wind Offshore,323,9.5,34,,Under Construction,Under Construction,"Smith Bank, Moray Firth - 13miles off Lybster",Offshore,Offshore,Scotland,,331721,907867,Scottish Government (S36),,,,,,3,28/08/2012,,,,,,,19/03/2014,,,,,06/06/2019,,
31/07/2020,SSE / Seagreen Wind Energy Ltd,Seagreen Phase 1 (Alpha),01/09/2023,Wind Offshore,525,9.2,57,,Planning Permission Granted,Awaiting Construction,"Firth of Forth Wind Zone 2, Dundee, Tayside",Offshore,Offshore,Scotland,DD4 0AD,404600,749300,Marine Scotland,,,,,42570,3,23/10/2012,,,,,,,16/05/2017,,,,,,,
22/09/2020,"SSE/Equinor (formerly Statoil, formerly Forewind)",Dogger Bank A & B (was Creyke Beck A & B),01/01/2026,Wind Offshore,2400,12,200,260,Under Construction,Under Construction,125km off coast of Yorkshire,Offshore,Offshore,England,,629000,681000,The Planning Inspectorate - National Infrastructure,,,,,,3,29/08/2013,,,,,,,17/02/2015,,,,11/03/2020,13/01/2020,,
22/08/2019,Cierco,Forth of Firth (Methil),01/01/2030,Wind Offshore,29.9,6,2,121,Planning Permission Granted,Awaiting Construction,Forth of Firth,Offshore,Offshore,Scotland,,338141,696278,Marine Scotland,,,,,,,06/07/2015,,,,,,,21/12/2016,,,,,,,
03/09/2020,Kincardine Offshore Wind,Kincardine Offshore Windfarm,01/03/2021,Wind Offshore,50,6,8,176,Under Construction,Under Construction,"Kincardine Offshore Windfarm, Laurencekirk, Grampian",Offshore,Offshore,Scotland,,407766,789575,Marine Scotland,APP/2016/1726,,,,,Demo,16/06/2016,,,,,,,07/03/2017,,,,,01/10/2018,,
