Company Name,Station Name,Fuel,Type,Installed Capacity (MW),Year of commission or year generation began,Location,Geocoordinates
Drax Power,Bonnington,Hydro,Hydro,11,1927,Scotland,"55.655065, -3.775233"
Drax Power,Carsfad,Hydro,Hydro,12,1935,Scotland,"55.143209, -4.19179"
Drax Power,Drumjohn,Hydro,Hydro,1,1935,Scotland,"55.247643, -4.328124"
Drax Power,Earlstoun,Hydro,Hydro,14,1935,Scotland,"55.111164, -4.174355"
Drax Power,Glenlee,Hydro,Hydro,24,1935,Scotland,"55.099266, -4.186249"
Drax Power,Kendoon,Hydro,Hydro,24,1935,Scotland,"55.162964, -4.192874"
Drax Power,Stonebyres,Hydro,Hydro,6,1927,Scotland,"55.676723, -3.830287"
Drax Power,Tongland,Hydro,Hydro,33,1935,Scotland,"54.85919, -4.036121"
Innogy,Auchtertyre,Hydro,Hydro,0.6,2000,Scotland,"56.424383, -4.672014"
Innogy,Black Rock,Hydro,Hydro,3.5,2012,Scotland,"57.66252232089189, -4.333188915029282"
Innogy,Braevallich,Hydro,Hydro,2.3,2005,Scotland,"56.214319, -5.294552"
Innogy,Carnoch,Hydro,Hydro,1.4,2009,Scotland,"56.687383, -5.517123"
Innogy,Cia Aig,Hydro,Hydro,3,2016,Scotland,"56.95431399548204, -5.003457179902753"
Innogy,Croesor,Hydro,Hydro,0.5,1999,Wales,"52.980943235209494, -4.0427605007941665"
Innogy,Cwm Dyli,Hydro,Hydro,9.9,2002,Wales,"53.0659, -4.0115"
Innogy,Douglas Water,Hydro,Hydro,3,2008,Scotland,"56.201298, -5.138615"
Innogy,Dulyn,Hydro,Hydro,0.5,1998,Wales,"53.18048583835463, -3.9481183237411503"
Innogy,Garnedd,Hydro,Hydro,0.6,1990,Wales,"53.05311049108519, -3.933995847410383"
Innogy,Garrogie,Hydro,Hydro,2.4,2005,Scotland,"57.184999, -4.483433"
Innogy,Garry Gualach,Hydro,Hydro,0.8,2002,Scotland,"57.058197, -5.019274"
Innogy,Glen Tarbert,Hydro,Hydro,0.9,2000,Scotland,"56.687312, -5.487711"
Innogy,Grudie,Hydro,Hydro,2,2017,Scotland,"57.61928, -4.814468"
Innogy,Dolgarrog High Head,Hydro,Hydro,17,2002,Wales,"53.18377207388732, -3.846086992357046"
Innogy,Inverbain,Hydro,Hydro,1,2006,Scotland,"57.52991, -5.699917"
Innogy,Inverlael,Hydro,Hydro,2.5,2009,Scotland,"57.821407, -5.050861"
Innogy,Kielder,Hydro,Hydro,6,2006,North East,"55.183308, -2.500001"
Innogy,Dolgarrog Low Head,Hydro,Hydro,15,2002,Wales,"53.18377207388732, -3.846086992357046"
Innogy,Maldie,Hydro,Hydro,4,2013,Scotland,"58.26614387205772, -4.984305834524772"
Innogy,River E,Hydro,Hydro,3,2008,Scotland,"57.214401, -4.450627"
Innogy,Selset,Hydro,Hydro,0.8,2010,North East,"54.58574245747701, -2.1666727192823223"
Innogy,Stanley Mill,Hydro,Hydro,0.8,2003,Scotland,"56.478948, -3.440063"
