Turbine,Rated Capacity,Hub Height
Acciona.AW77.1500,1500,71.5
Alstom.Eco.74,1670,70
Alstom.Eco.80,1670,80
Alstom.Eco.110,1670,110
Bonus.B23.150,150,24.5
Bonus.B33.300,300,30
Bonus.B37.450,450,40
Bonus.B41.500,500,40
Bonus.B44.600,600,40
Bonus.B54.1000,1000,80
Bonus.B62.1300,1300,80
Bonus.B82.2300,2300,90
Enercon.E40.500,500,48
Enercon.E40.600,600,65
Enercon.E44.900,900,55
Enercon.E48.800,800,55
Enercon.E53.800,800,60
Enercon.E66.1500,1500,98
Enercon.E66.1800,1800,98
Enercon.E66.2000,2000,98
Enercon.E70.2000,2000,99
Enercon.E70.2300,2300,113
Enercon.E82.1800,1800,98
Enercon.E82.2000,2000,108
Enercon.E82.2300,2300,108
Enercon.E82.3000,3000,78
Enercon.E92.2300,2300,108
Enercon.E92.2350,2350,108
Enercon.E101.3000,3000,130
Enercon.E112.4500,4500,130
Enercon.E126.6500,6500,135
Enercon.E126.7000,7000,135
Enercon.E126.7500,7500,135
EWT.DirectWind.52.900,900,100
Gamesa.G47.660,660,50
Gamesa.G52.850,850,55
Gamesa.G58.850,850,65
Gamesa.G80.2000,2000,78
Gamesa.G87.2000,2000,90
Gamesa.G90.2000,2000,90
Gamesa.G128.4500,4500,130
GE.900S,900,60
GE.1.5s,1500,85
GE.1.5se,1500,85
GE.1.5sl,1500,85
GE.1.5sle,1500,85
GE.1.5xle,1500,85
GE.1.6,1600,100
GE.1.7,1700,96
GE.2.5xl,2500,100
GE.2.75.103,2750,98
Goldwind.GW82.1500,1500,100
NEG.Micon.M1500.500,500,46
NEG.Micon.M1500.750,750,52
NEG.Micon.NM48.750,750,52
NEG.Micon.NM52.900,900,70
NEG.Micon.NM60.1000,1000,80
NEG.Micon.NM64c.1500,1500,80
NEG.Micon.NM80.2750,2750,60
Nordex.N27.150,150,40
Nordex.N29.250,250,40
Nordex.N43.600,600,60
Nordex.N50.800,800,70
Nordex.N60.1300,1300,69
Nordex.N80.2500,2500,105
Nordex.N90.2300,2300,105
Nordex.N90.2500,2500,100
Nordex.N100.2500,2500,100
Nordex.N131.3000,3000,114
Nordex.N131.3300,3300,164
Nordtank.NTK500,500,50
Nordtank.NTK600,600,65
REpower.MD70.1500,1500,114
REPower.MD77.1500,1500,100
REpower.MM70.2000,2000,80
REpower.MM82.2000,2000,100
REpower.MM92.2000,2000,100
REpower.3.4M,3400,128
REpower.5M,5000,120
REpower.6M,6000,95
Siemens.SWT.1.3.62,62,90
Siemens.SWT.2.3.82,82,80
Siemens.SWT.2.3.93,93,133
Siemens.SWT.2.3.101,101,100
Siemens.SWT.3.0.101,101,115
Siemens.SWT.3.6.107,107,96
Siemens.SWT.3.6.120,120,90
Siemens.SWT.4.0.130,130,89.5
Suzlon.S88.2100,2100,80
Suzlon.S97.2100,2100,90
Tacke.TW600.43,600,50
Vestas.V27.225,225,110
Vestas.V29.225,225,35
Vestas.V39.500,500,53
Vestas.V42.600,600,53
Vestas.V44.600,600,53
Vestas.V47.660,660,50
Vestas.V52.850,850,74
Vestas.V66.1650,1650,78
Vestas.V66.1750,1750,67
Vestas.V66.2000,2000,78
Vestas.V80.1800,1800,78
Vestas.V80.2000,2000,78
Vestas.V90.1800,1800,78
Vestas.V90.2000,2000,78
Vestas.V90.3000,3000,105
Vestas.V100.1800,1800,95
Vestas.V100.2000,2000,120
Vestas.V110.2000,2000,120
Vestas.V112.3000,3000,120
Vestas.V112.3300,3300,100
Vestas.V164.7000,7000,150
