,Interconnector Deeside,Interconnector Sellindge,Interconnector Neilston,Interconnector Kemsley
0,0.0,0.48421876125,0.0,0.0
1,0.0,0.485468746875,0.0,0.16818182
2,0.0,0.469999989375,0.0,0.5368182
3,0.0,0.469999989375,0.0,0.61454546
4,0.0,0.4400000062499999,0.0,0.26909092
5,0.0,0.3021875062499999,0.0,0.29545453
6,0.0,0.1778124928124999,0.0,0.35590908
7,0.0,0.1587500053125,0.0,0.3918182
8,0.0,0.5125000125,0.0,0.0013636363
9,0.0,0.5159374828125,0.0,0.15545455
10,0.0,0.5462499984375,0.0,0.69
11,0.0,0.5771874937499999,0.0,0.7854546
12,0.0,0.6237499865625,0.0,0.89272726
13,0.0,0.6243750187499999,0.0,0.9086364
14,0.0,0.6243750187499999,0.0,0.91
15,0.0,0.6243750187499999,0.0,0.90909094
16,0.0,0.624218765625,0.0,0.81136364
17,0.0,0.6243750187499999,0.0,0.75272727
18,0.0,0.6243750187499999,0.0,0.9572727
19,0.0,0.6243750187499999,0.0,0.96181816
20,0.0,0.624218765625,0.0,0.9622727
21,0.0,0.6240625125,0.0,0.96181816
22,0.0,0.586562484375,0.0,0.9104546
23,0.0,0.203593753125,0.0,0.9095455
24,0.0,0.4632812625,0.0,0.86454546
25,0.0,0.5917187325,0.0,0.83863634
26,0.0,0.5931250171875,0.0,0.8372727
27,0.0,0.5931250171875,0.0,0.83772725
28,0.0,0.5931250171875,0.0,0.8636364
29,0.0,0.5928124781249999,0.0,0.86454546
30,0.0,0.623906259375,0.0,0.8181818
31,0.0,0.5998437375,0.0,0.87863636
32,0.0,0.007343749875,0.0,0.89954543
33,0.0,0.493437525,0.0,0.9604545
34,0.0,0.622187514375,0.0,0.8818182
35,0.0,0.5867187375,0.0,0.9604545
36,0.0,0.62156248875,0.0,0.9104546
37,0.0,0.6243750187499999,0.0,0.85545456
38,0.0,0.6243750187499999,0.0,0.9077273
39,0.0,0.6243750187499999,0.0,0.90090907
40,0.0,0.6243750187499999,0.0,0.1195454499999999
41,0.0,0.6243750187499999,0.0,0.30954546
42,0.0,0.6243750187499999,0.0,0.32090908
43,0.0,0.6243750187499999,0.0,0.38727272
44,0.0,0.6243750187499999,0.0,0.67227274
45,0.0,0.6243750187499999,0.0,0.53136367
46,0.0,0.624218765625,0.0,0.84636366
47,0.0,0.600937483125,0.0,0.87045455
48,0.0,0.6240625125,0.0,0.9086364
49,0.0,0.6243750187499999,0.0,0.9604545
50,0.0,0.6245312390625,0.0,0.9622727
51,0.0,0.6243750187499999,0.0,0.9622727
52,0.0,0.6243750187499999,0.0,0.9590909
53,0.0,0.6243750187499999,0.0,0.9104546
54,0.0,0.6243750187499999,0.0,0.9077273
55,0.0,0.333281248125,0.0,0.5031818
56,0.0,0.5496875146875,0.0,0.0
57,0.0,0.6240625125,0.0,0.0
58,0.0,0.624687525,0.0,0.0
59,0.0,0.6243750187499999,0.0,0.0
60,0.0,0.6250000050000001,0.0,0.0
61,0.0,0.624687525,0.0,0.0
62,0.0,0.6245312390625,0.0,0.0
63,0.0,0.624687525,0.0,0.19136363
64,0.0,0.624687525,0.0,0.8872727
65,0.0,0.6243750187499999,0.0,0.64681816
66,0.0,0.6243750187499999,0.0,0.6504545
67,0.0,0.6243750187499999,0.0,0.695
68,0.0,0.6245312390625,0.0,0.9559091
69,0.0,0.6243750187499999,0.0,0.9259091
70,0.0,0.6243750187499999,0.0,0.82045454
71,0.0,0.499843745625,0.0,0.9068182
72,0.0,0.6240625125,0.0,0.90909094
73,0.0,0.6245312390625,0.0,0.96
74,0.0,0.6243750187499999,0.0,0.96181816
75,0.0,0.6243750187499999,0.0,0.9613636
76,0.0,0.6245312390625,0.0,0.9613636
77,0.0,0.6243750187499999,0.0,0.9104546
78,0.0,0.6245312390625,0.0,0.75454545
79,0.0,0.6243750187499999,0.0,0.18545455
80,0.0,0.593437490625,0.0,0.0
81,0.0,0.624218765625,0.0,0.0
82,0.0,0.6243750187499999,0.0,0.21818182
83,0.0,0.6243750187499999,0.0,0.2768182
84,0.0,0.5167187353125,0.0,0.22636363
85,0.0,0.6240625125,0.0,0.38590908
86,0.0,0.609062475,0.0,0.097272724
87,0.0,0.609062475,0.0,0.13727273
88,0.0,0.60890626125,0.0,0.09318182
89,0.0,0.624218765625,0.0,0.18454546
90,0.0,0.6245312390625,0.0,0.67454547
91,0.0,0.6243750187499999,0.0,0.82363635
92,0.0,0.6243750187499999,0.0,0.95954543
93,0.0,0.569062501875,0.0,0.96181816
94,0.0,0.371562515625,0.0,0.91
95,0.0,0.3426562125,0.0,0.90909094
96,0.0,0.41406248625,0.0,0.8545455
97,0.0,0.595781221875,0.0,0.93227273
98,0.0,0.6237499865625,0.0,0.7481818
99,0.0,0.6243750187499999,0.0,0.9572727
100,0.0,0.6243750187499999,0.0,0.9622727
101,0.0,0.6245312390625,0.0,0.9109091
102,0.0,0.6245312390625,0.0,0.8545455
103,0.0,0.6196874906250001,0.0,0.9077273
104,0.0,0.211874998125,0.0,0.90909094
105,0.0,0.2465624896875,0.0775,0.9604545
106,0.0,0.579999984375,0.0,0.9613636
107,0.0,0.624218765625,0.0,0.9622727
108,0.0,0.6245312390625,0.0,0.9622727
109,0.0,0.6245312390625,0.0,0.9104546
110,0.0,0.6243750187499999,0.0,0.90909094
111,0.0,0.6240625125,0.0,0.84818184
112,0.0,0.623906259375,0.0,0.90818185
113,0.0,0.623906259375,0.0,0.9095455
114,0.0,0.6240625125,0.0,0.9581818
115,0.0,0.6240625125,0.0,0.9613636
116,0.0,0.623906259375,0.0,0.96181816
117,0.0,0.6237499865625,0.0,0.9622727
118,0.0,0.593749996875,0.0,0.9104546
119,0.0,0.3035937449999999,0.0,0.87454545
120,0.0,0.62078123625,0.0,0.9086364
121,0.0,0.623593753125,0.0,0.91
122,0.0,0.6234375,0.0,0.90909094
123,0.0,0.6237499865625,0.0,0.91
124,0.0,0.6237499865625,0.0,0.90909094
125,0.0,0.623593753125,0.0,0.9095455
126,0.0,0.623593753125,0.0,0.90909094
127,0.0,0.6237499865625,0.0,0.90636367
128,0.0,0.5190625125,0.0,0.34454545
129,0.0,0.623281246875,0.0,0.8313636
130,0.0,0.6237499865625,0.0,0.95954543
131,0.0,0.623906259375,0.0,0.96272725
132,0.0,0.6240625125,0.0,0.9622727
133,0.0,0.623906259375,0.0,0.91
134,0.0,0.6237499865625,0.0,0.90909094
135,0.0,0.6237499865625,0.0,0.9086364
136,0.0,0.624218765625,0.0,0.9086364
137,0.0,0.6243750187499999,0.0,0.9086364
138,0.0,0.6243750187499999,0.0,0.96090907
139,0.0,0.6243750187499999,0.0,0.96181816
140,0.0,0.624218765625,0.0,0.9622727
141,0.0,0.6245312390625,0.0,0.9622727
142,0.0,0.6243750187499999,0.0,0.91
