,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula,Netherlands,Belgium,France1,France2,Ireland,N. Ireland
0,153.10652,215.87993,76.12023,567.3927,670.16345,194.84615,172.78406,49.76807,234.75487,1421.6038,721.27716,1544.985,1568.491,1251.4813,1139.895,408.9712,988.14136,2011.3062,551.45984,691.0171,420.58688,1414.1871,2072.5757,649.03815,4458.1274,777.5934,398.50735,1075.5029,1305.9362,460.0,-0.0,-0.0,1.0,423.5,454.0
1,153.57643,216.54251,76.35386,569.13416,672.2204,195.44418,173.31438,49.92082,235.47539,1425.967,723.4909,1549.7269,1573.305,1255.3224,1143.3937,410.22644,991.1742,2017.4792,553.1524,693.13794,421.87778,1418.5276,2078.9368,651.0302,4471.8105,779.98004,399.73047,1078.8038,1309.9445,-0.0,-0.0,-0.0,1.0,243.0,455.0
2,149.76361,211.16644,74.45824,555.0044,655.53125,190.59192,169.01152,48.681442,229.62927,1390.5648,705.5289,1511.2521,1534.2449,1224.1567,1115.0068,400.0418,966.56647,1967.3916,539.4194,675.9295,411.40387,1383.31,2027.3234,634.8672,4360.7896,760.61554,389.80643,1052.0205,1277.4226,-0.0,-0.0,-0.0,1.0,313.0,430.0
3,144.46225,203.69153,71.82255,535.3582,632.3266,183.8453,163.02881,46.958206,221.5008,1341.3412,680.55444,1457.7565,1479.9353,1180.8237,1075.5375,385.88104,932.35175,1897.7494,520.3249,652.0028,396.8409,1334.3433,1955.5597,612.394,4206.4253,733.6911,376.00797,1014.7809,1232.2041,-0.0,-0.0,-0.0,1.0,499.0,442.0
4,138.62625,195.46277,68.92105,513.7307,606.7818,176.41829,156.44275,45.061184,212.55258,1287.1536,653.0613,1398.8657,1420.1487,1133.1207,1032.0878,370.29214,894.68646,1821.0839,499.30472,625.66315,380.80927,1280.4384,1876.5587,587.6544,4036.4934,704.0514,360.81793,973.78564,1182.4254,-0.0,-0.0,-0.0,1.0,536.0,455.0
5,134.25346,189.29715,66.747025,497.52576,587.64166,170.85341,151.50797,43.639786,205.84789,1246.552,632.4613,1354.7404,1375.3519,1097.3778,999.5319,358.6118,866.4647,1763.6401,483.5548,605.92737,368.79715,1240.0486,1817.3651,569.1176,3909.1675,681.843,349.4364,943.06885,1145.1273,-0.0,-0.0,-0.0,1.0,535.5,455.0
6,132.47227,186.78568,65.861465,490.9249,579.8452,168.58662,149.49785,43.0608,203.11682,1230.0134,624.07025,1336.7665,1357.1046,1082.8185,986.27075,353.85394,854.96906,1740.2413,477.1393,597.8883,363.90417,1223.5963,1793.2534,561.56696,3857.3032,672.7967,344.8003,930.55676,1129.9344,-0.0,-0.0,-0.0,1.0,536.0,455.0
7,137.14896,193.37979,68.186584,508.25607,600.31555,174.53827,154.77559,44.580982,210.28748,1273.4368,646.10187,1383.9585,1405.0146,1121.0454,1021.08923,366.34607,885.1521,1801.6772,493.9838,618.99567,376.75113,1266.7931,1856.5609,581.39197,3993.478,696.5485,356.97284,963.4083,1169.8247,-0.0,-0.0,-0.0,1.0,535.5,452.0
8,138.98079,195.96268,69.09732,515.0446,608.3337,176.86949,156.84286,45.17643,213.0962,1290.4456,654.73157,1402.4435,1423.7809,1136.0188,1034.7274,371.23923,896.97473,1825.7415,500.58173,627.2633,381.78323,1283.7131,1881.3582,589.1574,4046.8171,705.85205,361.74075,976.2762,1185.4496,-0.0,-0.0,-0.0,1.0,518.0,455.0
9,145.3008,204.87387,72.23944,538.4657,635.997,184.91245,163.97513,47.230778,222.78651,1349.1271,684.50476,1466.218,1488.5256,1187.6779,1081.7805,388.1209,937.7636,1908.765,523.34515,655.7874,399.14438,1342.0885,1966.9108,615.94867,4230.842,737.9499,378.19052,1020.6712,1239.3566,-0.0,-0.0,-0.0,1.0,361.0,456.0
