Dates_[UTC],T_WHILW-1_Energy_[MWh],T_WHILW-2_Energy_[MWh],T_BLLA-1_Energy_[MWh],T_BLLA-2_Energy_[MWh],T_CLDCW-1_Energy_[MWh],T_CLDNW-1_Energy_[MWh],T_CLDSW-1_Energy_[MWh],T_CRYRW-2_Energy_[MWh],T_CRYRW-3_Energy_[MWh],T_HADHW-1_Energy_[MWh],T_KLGLW-1_Energy_[MWh],T_WHILW-1_Payment_[GBP],T_WHILW-2_Payment_[GBP],T_BLLA-1_Payment_[GBP],T_BLLA-2_Payment_[GBP],T_CLDCW-1_Payment_[GBP],T_CLDNW-1_Payment_[GBP],T_CLDSW-1_Payment_[GBP],T_CRYRW-2_Payment_[GBP],T_CRYRW-3_Payment_[GBP],T_HADHW-1_Payment_[GBP],T_KLGLW-1_Payment_[GBP]
01/01/2019 00:00,-55.925,0,0,-26.475,0,0,0,0,0,-35.4083,-107.0583,4042.49,0,0,1688.9,0,0,0,0,0,2209.4,6829.48
01/01/2019 00:30,-42.2333,0,0,-24.5333,0,0,0,0,0,-30.425,-104.05,3052.8,0,0,1565.03,0,0,0,0,0,1898.46,6637.57
01/01/2019 01:00,-31.675,0,0,-23.025,0,0,0,0,0,-26.4333,-103.0167,2289.6,0,0,1468.81,0,0,0,0,0,1649.38,6571.65
01/01/2019 01:30,-3.3917,0,0,-21.525,0,0,0,0,0,-22.4333,-101.525,245.17,0,0,1373.13,0,0,0,0,0,1399.79,6476.5
01/01/2019 02:00,0,0,0,-20.025,0,0,0,0,0,-18.4416,-97.5667,0,0,0,1277.44,0,0,0,0,0,1150.72,6223.99
01/01/2019 02:30,0,0,0,-4.0302,0,0,0,0,0,-14.9583,-93.075,0,0,0,257.1,0,0,0,0,0,933.37,5937.45
01/01/2019 03:00,0,0,0,0,0,0,0,0,0,-9.375,-75.8667,0,0,0,0,0,0,0,0,0,584.98,4839.7
01/01/2019 03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2019 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2019 04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2019 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
