,Dinorwig,Ffestiniog,Cruachan,Foyers
0,9099.64799064988,1400.0399908867314,6635.320231971899,6010.238683982874
1,9099.64798642662,1400.0399866068308,6193.00931787737,5744.865158734358
2,9099.647983479428,1400.0399835480832,5760.771420588401,5484.423140301849
3,9099.64798113348,1400.0399811007824,5342.0515955892415,5232.949100061179
4,9099.647979153031,1400.0399790311187,4944.976452248277,5003.959415633748
5,9099.647977429822,1400.0399772258502,4572.025198671717,4799.820059770256
6,9099.647975908032,1400.0399756181623,4216.530605865034,4620.669661383842
7,9099.64797454485,1400.0399741654069,3871.827423929106,4472.067347230349
8,9099.647973309973,1400.0399728401032,3541.9899335941213,4307.493597193749
9,9099.647972178478,1400.0399716195789,3223.5184705185884,4151.978102305869
10,9099.647971135591,1400.0399704857314,2893.1442855969267,4014.873400648532
11,9099.647970174758,1400.0399694285368,2556.992436474677,3873.3321719481023
12,9099.64796928559,1400.0399684425558,2225.4218695989603,3745.399629576177
13,9099.6479684663,1400.0399675158478,1864.8224814505406,3629.367386744053
14,9099.64796770555,1400.039966646873,1500.695739930988,3526.800636222415
15,9099.647966997809,1400.0399658317385,1138.794796503707,3416.407915902596
16,9099.647966338876,1400.0399650639047,782.6669177678858,3320.3853748095953
17,9099.647965726494,1400.0399643363116,450.88820435219077,3233.3803163489174
18,9099.64796516021,1400.0399636469947,170.73038187354993,3150.749101240457
19,9099.647964637172,1400.0399629976357,32.89420786450316,3072.5045289030422
20,9099.647964171609,1400.0399624005906,3.209175237417509e-07,3005.992798196896
21,9099.647937872249,1400.03993277381,178.9753374743134,2974.6030470508103
22,9099.647924615076,1400.0399180726254,411.59201187616395,2985.1392302048116
23,9099.647505830837,1400.0394494538943,792.192010462201,3055.8626154186027
24,9099.647460864335,1400.039394608675,1172.792009076655,3146.915218378324
25,9099.647418158924,1400.039344019467,1553.3920077013308,3239.2421219291964
26,9099.647378712743,1400.03929717996,1933.9920063250443,3329.0990987372556
27,9099.647342309534,1400.039253631004,2314.592004948267,3419.8317543543208
28,9099.647308090436,1400.0392127663376,2695.192003571736,3509.836147837936
29,9099.647275865937,1400.0391742830661,3075.792002195162,3590.3703480921154
30,9099.647245073444,1400.0391378359222,3456.3920008179925,3662.304622957613
31,9099.647215315517,1400.0391028598826,3836.9919994310935,3714.485512689038
32,9099.6471685192,1400.0390485655253,4217.591998021533,3744.919215101689
33,9099.646683749976,1400.038524914335,4598.191996581831,3762.4919358848115
34,9099.646673970437,1400.0385136794596,4971.875258828798,3767.324785177604
35,9099.64666400433,1400.0385024691423,5283.948750407871,3769.177269709154
36,9099.6466539932,1400.0384912997104,5564.595746501144,3772.3434734997795
37,9099.646644129447,1400.0384803341854,5818.371867556194,3775.248455398377
38,9099.646634225537,1400.0384693570552,6077.625530886136,3783.564199441368
39,9099.64662442092,1400.0384585372965,6383.131374784476,3798.6185780819883
40,9099.646614674839,1400.0384478268575,6702.411701807888,3814.981927311966
41,9099.646604909498,1400.0384371275247,6985.67867117931,3820.5958512052625
42,9099.646595275086,1400.0384264482266,7064.237670899647,3802.623970097478
43,9099.646593033918,1400.0384240023752,7022.092885066214,3800.9915769012505
44,9099.646590896718,1400.0384216702919,6988.461739864834,3788.508162459685
45,9099.646583693635,1400.0384137556778,7099.839994626273,3787.7635808409195
46,9099.646578696116,1400.0384082782525,7099.839999554073,3768.0728410993456
47,9099.646578342292,1400.0384077668818,7099.839962308085,3753.6982231254397
48,9099.646577912297,1400.038407192011,7013.173196851353,3752.27467915701
49,9099.646577478068,1400.0384066158324,6983.634101593182,3762.1901041739375
50,9099.646577041129,1400.0384060331526,6804.411379812032,3763.6854798238105
51,9099.64657661676,1400.0384054496947,6498.696075545286,3760.509407378522
52,9099.646576198436,1400.0384048632457,6092.667106962809,3755.7326757561914
53,9099.646575773018,1400.0384042807516,5712.7122813701435,3758.732502430341
54,9099.64657533691,1400.038403704314,5497.108504402007,3774.9633806349816
55,9099.646574900353,1400.0384031262488,5150.615241135633,3784.4113597730757
56,9099.64657445894,1400.0384025448743,4734.482816248827,3786.7131793242756
57,9099.646574006994,1400.0384019635094,4312.502714294179,3789.896647187201
58,9099.646573554824,1400.0384013801822,3884.981813980897,3804.9367991371255
59,9099.646573104506,1400.0384007993512,3455.7798364156524,3821.859785296673
60,9099.646572651445,1400.0384002213405,3025.228084841987,3844.746928629896
61,9099.646572198608,1400.0383996449902,2597.316971412817,3887.2844681413735
62,9099.646571752843,1400.0383990733933,2174.5867848230264,3924.7149446805774
63,9099.646571305842,1400.0383985071403,1774.465718443338,3977.4371670618475
64,9099.646570847259,1400.0383979396809,1400.5377008583014,4038.305699436999
65,9099.646570394114,1400.038397366598,982.9493644189492,4102.430787614673
66,9099.646569950823,1400.0383967902048,554.1528632454709,4170.551863167694
67,9099.64656949679,1400.0383962153076,226.5931345388428,4244.355988662014
68,9099.646569037575,1400.0383956423161,4.1965007908313993e-07,4323.592206277572
69,9099.6465626438,1400.0383889416487,54.878648123938774,4407.542522084774
70,9099.646556533968,1400.0383824615435,143.17010441261576,4514.703553391791
71,9099.646109787847,1400.0381067541705,523.7701035369589,4621.372664526044
72,9099.646074984543,1400.038072490446,904.3701026719827,4733.9716242471
73,9099.646040792875,1400.0380388331341,1284.9701018121052,4872.510145472354
74,9099.646007051499,1400.0380057362022,1665.5701009562,5009.17263262234
75,9099.645973930214,1400.0379732143492,2046.1701001045267,5145.211887166314
76,9099.64594138723,1400.0379412337138,2426.7700992513787,5273.137406601213
77,9099.645909610912,1400.0379097602724,2807.3700983982394,5386.258317858037
78,9099.645877682831,1400.0378784606048,3187.9700975352644,5366.301809680853
79,9099.645876488896,1400.0378771190396,3192.927846874177,5019.4811099471535
80,9099.645876111315,1400.0378765820617,3177.8578673820757,4672.660410135015
81,9099.645875731756,1400.0378760405015,3161.602673607205,4325.839710317697
82,9099.645875344073,1400.0378754968615,3144.777737445134,3979.019010500329
83,9099.645874951875,1400.037874954004,3127.688779838887,3632.198310683021
84,9099.645874557325,1400.0378744117804,3110.45026775963,3285.377610868349
85,9099.645874164387,1400.0378738728482,3093.212838983863,2938.5569110537517
86,9099.645873769201,1400.0378733366429,3077.5654648224317,2591.7362112446017
87,9099.64587336984,1400.037872803933,3059.6786166906077,2244.9155114415125
