name,p_nom,carrier,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,build_year,p_nom_opt
Beauly Battery,30.490401140043176,Battery,1.0788684341809327,0.95,0.95,32.8951313355069,Beauly,0,30.490401140043176
Peterhead Battery,145.7097350645534,Battery,1.0788684341809327,0.95,0.95,157.20163371401327,Peterhead,0,145.7097350645534
Errochty Battery,8.771342604214894,Battery,1.0788684341809327,0.95,0.95,9.463124661073826,Errochty,0,8.771342604214894
Denny/Bonnybridge Battery,560.7076765508211,Battery,1.0788684341809327,0.95,0.95,604.9298130336132,Denny/Bonnybridge,0,560.7076765508211
Neilston Battery,106.94647199288464,Battery,1.0788684341809327,0.95,0.95,115.3811727801384,Neilston,0,106.94647199288464
Strathaven Battery,29.27615334783857,Battery,1.0788684341809327,0.95,0.95,31.58511772122347,Strathaven,0,29.27615334783857
Torness Battery,19.875319125033386,Battery,1.0788684341809327,0.95,0.95,21.44285442327111,Torness,0,19.875319125033386
Eccles Battery,11.912409919312614,Battery,1.0788684341809327,0.95,0.95,12.85192303697021,Eccles,0,11.912409919312614
Harker Battery,124.88219003931748,Battery,1.0788684341809327,0.95,0.95,134.7314528248041,Harker,0,124.88219003931748
Stella West Battery,471.3358436556349,Battery,1.0788684341809327,0.95,0.95,508.50936361810375,Stella West,0,471.3358436556349
Penwortham Battery,862.0392431310298,Battery,1.0788684341809327,0.95,0.95,930.0269284392904,Penwortham,0,862.0392431310298
Deeside Battery,297.6089384804235,Battery,1.0788684341809327,0.95,0.95,321.080889456624,Deeside,0,297.6089384804235
Daines Battery,949.8677031745456,Battery,1.0788684341809327,0.95,0.95,1024.7822816029611,Daines,0,949.8677031745456
Th. Marsh/Stocksbridge Battery,673.8595938396567,Battery,1.0788684341809327,0.95,0.95,727.0058448635897,Th. Marsh/Stocksbridge,0,673.8595938396567
Thornton/Drax/Eggborough Battery,415.2887218786115,Battery,1.0788684341809327,0.95,0.95,448.04189310617846,Thornton/Drax/Eggborough,0,415.2887218786115
Keadby Battery,349.6682148767328,Battery,1.0788684341809327,0.95,0.95,377.2459994669027,Keadby,0,349.6682148767328
Ratcliffe Battery,349.4349514850724,Battery,1.0788684341809327,0.95,0.95,376.9943389567903,Ratcliffe,0,349.4349514850724
Feckenham Battery,747.1809881552541,Battery,1.0788684341809327,0.95,0.95,806.1099827408211,Feckenham,0,747.1809881552541
Walpole Battery,112.33389772356088,Battery,1.0788684341809327,0.95,0.95,121.19349634245916,Walpole,0,112.33389772356088
Bramford Battery,192.97592807058135,Battery,1.0788684341809327,0.95,0.95,208.19563735212043,Bramford,0,192.97592807058135
Pelham Battery,565.5678631085666,Battery,1.0788684341809327,0.95,0.95,610.1733148949953,Pelham,0,565.5678631085666
Sundon/East Claydon Battery,1177.1876714309562,Battery,1.0788684341809327,0.95,0.95,1270.030619813814,Sundon/East Claydon,0,1177.1876714309562
Melksham Battery,1040.1086818578362,Battery,1.0788684341809327,0.95,0.95,1122.1404249739576,Melksham,0,1040.1086818578362
Bramley Battery,154.5385946694517,Battery,1.0788684341809327,0.95,0.95,166.72681165155316,Bramley,0,154.5385946694517
London Battery,554.9495857046298,Battery,1.0788684341809327,0.95,0.95,598.7175905785114,London,0,554.9495857046298
Kemsley Battery,497.6083314122305,Battery,1.0788684341809327,0.95,0.95,536.8539213460997,Kemsley,0,497.6083314122305
Sellindge Battery,527.2168052084619,Battery,1.0788684341809327,0.95,0.95,568.797569109127,Sellindge,0,527.2168052084619
Lovedean Battery,390.0068046893407,Battery,1.0788684341809327,0.95,0.95,420.76603069509787,Lovedean,0,390.0068046893407
S.W.Penisula Battery,635.6459376634068,Battery,1.0788684341809327,0.95,0.95,685.7783374603905,S.W.Penisula,0,635.6459376634068
Beauly Compressed Air,0.008367526020612,Compressed Air,5.0,0.69,0.69,0.0418376301030601,Beauly,0,0.008367526020612
Peterhead Compressed Air,0.0399873387696404,Compressed Air,5.0,0.69,0.69,0.199936693848202,Peterhead,0,0.0399873387696404
Errochty Compressed Air,0.0024071325640934,Compressed Air,5.0,0.69,0.69,0.0120356628204674,Errochty,0,0.0024071325640934
Denny/Bonnybridge Compressed Air,0.1538758395452605,Compressed Air,5.0,0.69,0.69,0.7693791977263028,Denny/Bonnybridge,0,0.1538758395452605
Neilston Compressed Air,0.0293494789754626,Compressed Air,5.0,0.69,0.69,0.1467473948773131,Neilston,0,0.0293494789754626
Strathaven Compressed Air,0.0080342981975317,Compressed Air,5.0,0.69,0.69,0.0401714909876585,Strathaven,0,0.0080342981975317
Torness Compressed Air,0.0054544133146307,Compressed Air,5.0,0.69,0.69,0.0272720665731538,Torness,0,0.0054544133146307
Eccles Compressed Air,0.0032691403274828,Compressed Air,5.0,0.69,0.69,0.0163457016374144,Eccles,0,0.0032691403274828
Harker Compressed Air,0.0342716046884887,Compressed Air,5.0,0.69,0.69,0.1713580234424437,Harker,0,0.0342716046884887
Stella West Compressed Air,0.1293493948512238,Compressed Air,5.0,0.69,0.69,0.6467469742561195,Stella West,0,0.1293493948512238
Penwortham Compressed Air,0.2365707084192655,Compressed Air,5.0,0.69,0.69,1.1828535420963282,Penwortham,0,0.2365707084192655
Deeside Compressed Air,0.0816732625216666,Compressed Air,5.0,0.69,0.69,0.4083663126083332,Deeside,0,0.0816732625216666
Daines Compressed Air,0.2606736030118607,Compressed Air,5.0,0.69,0.69,1.303368015059304,Daines,0,0.2606736030118607
Th. Marsh/Stocksbridge Compressed Air,0.1849282880797284,Compressed Air,5.0,0.69,0.69,0.9246414403986424,Th. Marsh/Stocksbridge,0,0.1849282880797284
Thornton/Drax/Eggborough Compressed Air,0.1139683000700946,Compressed Air,5.0,0.69,0.69,0.5698415003504733,Thornton/Drax/Eggborough,0,0.1139683000700946
Keadby Compressed Air,0.0959599669785741,Compressed Air,5.0,0.69,0.69,0.4797998348928707,Keadby,0,0.0959599669785741
Ratcliffe Compressed Air,0.0958959521599297,Compressed Air,5.0,0.69,0.69,0.4794797607996488,Ratcliffe,0,0.0958959521599297
Feckenham Compressed Air,0.2050499871018374,Compressed Air,5.0,0.69,0.69,1.0252499355091873,Feckenham,0,0.2050499871018374
Walpole Compressed Air,0.0308279582115506,Compressed Air,5.0,0.69,0.69,0.1541397910577532,Walpole,0,0.0308279582115506
Bramford Compressed Air,0.0529586702407044,Compressed Air,5.0,0.69,0.69,0.2647933512035224,Bramford,0,0.0529586702407044
Pelham Compressed Air,0.1552096277529058,Compressed Air,5.0,0.69,0.69,0.7760481387645293,Pelham,0,0.1552096277529058
Sundon/East Claydon Compressed Air,0.3230573591537953,Compressed Air,5.0,0.69,0.69,1.6152867957689767,Sundon/East Claydon,0,0.3230573591537953
Melksham Compressed Air,0.285438568673997,Compressed Air,5.0,0.69,0.69,1.4271928433699852,Melksham,0,0.285438568673997
Bramley Compressed Air,0.042410255809564,Compressed Air,5.0,0.69,0.69,0.2120512790478201,Bramley,0,0.042410255809564
London Compressed Air,0.1522956381316006,Compressed Air,5.0,0.69,0.69,0.7614781906580034,London,0,0.1522956381316006
Kemsley Compressed Air,0.1365593926442936,Compressed Air,5.0,0.69,0.69,0.6827969632214685,Kemsley,0,0.1365593926442936
Sellindge Compressed Air,0.1446848900355105,Compressed Air,5.0,0.69,0.69,0.7234244501775527,Sellindge,0,0.1446848900355105
Lovedean Compressed Air,0.1070301460274324,Compressed Air,5.0,0.69,0.69,0.5351507301371624,Lovedean,0,0.1070301460274324
S.W.Penisula Compressed Air,0.1744412577212606,Compressed Air,5.0,0.69,0.69,0.8722062886063036,S.W.Penisula,0,0.1744412577212606
Beauly Liquid Air,0.0127011627513843,Liquid Air,4.0,0.69,0.69,0.0508046510055375,Beauly,0,0.0127011627513843
Peterhead Liquid Air,0.0606972355337589,Liquid Air,4.0,0.69,0.69,0.2427889421350359,Peterhead,0,0.0606972355337589
Errochty Liquid Air,0.003653813849565,Liquid Air,4.0,0.69,0.69,0.0146152553982603,Errochty,0,0.003653813849565
Denny/Bonnybridge Liquid Air,0.2335698839484829,Liquid Air,4.0,0.69,0.69,0.934279535793932,Denny/Bonnybridge,0,0.2335698839484829
Neilston Liquid Air,0.0445499073701618,Liquid Air,4.0,0.69,0.69,0.1781996294806473,Neilston,0,0.0445499073701618
