,Moyle,IFA2,GridLink,NorthConnect
0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0
7,-0.0,-0.0,-0.0,-0.0
8,-0.0,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0,-0.0
10,-0.0,-0.0,-0.0,-0.0
11,-0.0,-0.0,-0.0,-0.0
12,-0.0,-0.0,-0.0,-0.0
13,-0.0,-0.0,-0.0,-0.0
14,-0.0,-0.0,-0.0,-0.0
15,-0.0,-0.0,-0.0,-0.0
16,-0.0,-0.0,-0.0,-0.0
17,-0.0,-0.0,-0.0,-0.0
18,-543.5263083344385,-0.0,-0.0,-0.0
19,-20.22165989276213,-0.0,-0.0,-0.0
20,-0.0,-0.0,-0.0,-0.0
21,-0.0,-0.0,-0.0,-0.0
22,-0.0,-0.0,-0.0,-0.0
23,-0.0,-0.0,-0.0,-0.0
24,-0.0,-0.0,-0.0,-0.0
25,-0.0,-0.0,-0.0,-0.0
26,-0.0,-0.0,-0.0,-0.0
27,-0.0,-0.0,-0.0,-0.0
28,-0.0,-0.0,-0.0,-0.0
29,-0.0,-0.0,-0.0,-0.0
30,-0.0,-0.0,-0.0,-0.0
31,-0.0,-0.0,-0.0,-0.0
32,-0.0,-0.0,-0.0,-0.0
33,-0.0,-0.0,-0.0,-0.0
34,-0.0,-0.0,-0.0,-0.0
35,-0.0,-0.0,-0.0,-0.0
36,-0.0,-0.0,-0.0,-0.0
37,-0.0,-0.0,-0.0,-0.0
38,-0.0,-0.0,-0.0,-0.0
39,-0.0,-0.0,-0.0,-0.0
40,-0.0,-0.0,-0.0,-0.0
41,-0.2910681744492267,-0.0,-0.0,-0.0
42,-0.8144041537439506,-0.0,-0.0,-0.0
43,-0.0,-0.0,-0.0,-0.0
44,-0.0,-0.0,-0.0,-0.0
45,-0.0,-0.0,-0.0,-0.0
46,-0.8587727086472077,-0.0,-0.0,-0.0
47,-0.011167026965287263,-0.0,-0.0,-0.0
48,-0.0,-0.0,-0.0,-0.0
49,-0.0,-0.0,-0.0,-0.0
50,-0.12836896062421577,-0.0,-0.0,-0.0
51,-0.759281869526494,-0.0,-0.0,-0.0
52,-1.4241280766808497,-0.0,-0.0,-0.0
53,-2.56185539300193,-0.0,-0.0,-0.0
54,-4.9659153155579485,-0.0,-0.0,-0.0
55,-11.865349239320391,-0.0,-0.0,-0.0
56,-19.010713204942995,-0.0,-0.0,-0.0
57,-25.369463025040172,-0.0,-0.0,-0.0
58,-30.965874234712306,-0.0,-0.0,-0.0
59,-27.656630377540885,-0.0,-0.0,-0.0
