,Moyle,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
0,-293.8251579329074,-1897.9320667086095,33.657788973649986,-2449.9999976855197,1750.0,147.93206670860945,2449.9999976855197,-33.657788973649986
1,-246.0935770040971,-1896.5660790848528,36.604111460996364,-2449.9999978806586,1750.0,146.56607908485284,2449.9999978806586,-36.604111460996364
2,-214.21543904932122,-1898.4107006076174,36.15538147534039,-2449.9999979377326,1750.0,148.4107006076174,2449.9999979377326,-36.15538147534039
3,-229.79268289393465,-1890.4286248225035,32.70965162902053,-2449.9999978133333,1750.0,140.42862482250348,2449.9999978133333,-32.70965162902053
4,-298.2786488430819,-1895.6385809561475,32.20020767025676,-2449.9999978123133,1750.0,145.6385809561475,2449.9999978123133,-32.20020767025676
5,-398.36275375626093,-440.62481332595826,1294.40540252603,-2449.999997806375,-1750.0,2190.6248133259583,2449.999997806375,-1294.40540252603
6,-470.95921949143025,-3500.0,1749.99713697664,-2449.999998349881,1050.0012880791055,2449.9987119208945,2449.999998349881,-1749.99713697664
7,-401.2740618052646,-3500.0,1749.9971340198188,-2449.999998263099,1050.0013056339994,2449.9986943660006,2449.999998263099,-1749.9971340198188
8,-383.5307448643828,-3500.0,1749.9971247028402,-2449.9999982426707,1050.0013331005284,2449.9986668994716,2449.9999982426707,-1749.9971247028402
9,-355.53241459253337,-699.9986571933146,1749.9971202640797,-2449.999998188623,-1750.0,2449.9986571933146,2449.999998188623,-1749.9971202640797
10,-375.60115939305354,-3500.0,1749.997120538479,-2449.9999981230003,1050.0013424262652,2449.998657573735,2449.9999981230003,-1749.997120538479
11,-416.49100257011304,-3500.0,1749.9971202213171,-2449.9999981075084,1050.0013423610121,2449.998657638988,2449.9999981075084,-1749.9971202213171
12,-555.973237361611,-699.9986548784796,1749.997117407574,-2449.9999981159303,-1750.0,2449.9986548784796,2449.9999981159303,-1749.997117407574
13,-534.8956348777879,-3500.0,1749.9971144242518,-2449.999998159743,1050.0013460630853,2449.9986539369147,2449.999998159743,-1749.9971144242518
14,-563.296096144753,-3500.0,1749.9971146394487,-2449.9999981765905,1050.0013473137628,2449.998652686237,2449.9999981765905,-1749.9971146394487
15,-567.1195536817734,-3500.0,1749.9971144783867,-2449.999998166362,1050.0013506821842,2449.9986493178158,2449.999998166362,-1749.9971144783867
16,-697.6376257467856,-3500.0,1749.9971094172686,-2449.999998111765,1050.001351452177,2449.998648547823,2449.999998111765,-1749.9971094172686
17,-906.3059549121289,-699.9986481242868,1749.9971190280387,-2449.9999981750107,-1750.0,2449.998648124287,2449.9999981750107,-1749.9971190280387
18,-1044.379725856242,-699.9986461436956,1749.997118629751,-2449.9999981983906,-1750.0,2449.9986461436956,2449.9999981983906,-1749.997118629751
19,-937.8076324926095,-3500.0,1749.9971137633338,-2449.999998215082,1050.0013629567065,2449.9986370432935,2449.999998215082,-1749.9971137633338
20,-583.1527457077572,-699.9986356797826,1749.9971116614934,-2449.9999982506024,-1750.0,2449.9986356797826,2449.9999982506024,-1749.9971116614934
21,-395.0376046840259,-3500.0,1749.997110789935,-2449.9999983232033,1050.0013624428825,2449.9986375571175,2449.9999983232033,-1749.997110789935
22,-362.7790538508634,-699.9986491380669,1749.9971138240378,-2449.9999983486455,-1750.0,2449.998649138067,2449.9999983486455,-1749.9971138240378
23,-345.843890854579,-1959.4605102035807,40.34984910380899,-2390.1811549192225,1750.0,209.46051020358072,2390.1811549192225,-40.34984910380899
24,-334.3207453421086,-1933.0902128780758,31.04755198445173,-2329.4197494512123,1750.0,183.09021287807582,2329.4197494512123,-31.04755198445173
25,-336.85912039825337,-1929.8970097758634,29.59828491772282,-2261.9298090078846,1750.0,179.89700977586335,2261.9298090078846,-29.59828491772282
26,-336.0401768640321,-1931.406624335043,30.56263474878415,-2176.749865930916,1750.0,181.40662433504303,2176.749865930916,-30.56263474878415
27,-337.00371839631674,-1936.277998887922,31.45035846673227,-1996.6066623498705,1750.0,186.27799888792197,1996.6066623498705,-31.45035846673227
28,-335.6111467489378,-1940.5410576742015,32.58139907614009,-1788.19102967751,1750.0,190.5410576742015,1788.19102967751,-32.58139907614009
29,-331.6472616759162,-1950.5160465186332,34.81459639355444,-1624.762154981372,1750.0,200.51604651863317,1624.762154981372,-34.81459639355444
30,-336.1732053974341,-1966.9182250999788,38.5307089744083,-1606.3276604527323,1750.0,216.91822509997883,1606.3276604527323,-38.5307089744083
31,-360.0370036752693,-1983.402026441995,42.75518192903564,-1830.6896958489974,1750.0,233.40202644199508,1830.6896958489974,-42.75518192903564
32,-383.7285434462327,-2010.8738621236162,51.58687145537124,-2045.327540431587,1750.0,260.87386212361616,2045.327540431587,-51.58687145537124
33,-402.91961005414635,-2032.4136497160575,58.88400863820243,-2151.052455329733,1750.0,282.41364971605753,2151.052455329733,-58.88400863820243
34,-452.0593923537567,-2056.6268405587225,61.854875092806424,-2200.1202593567136,1750.0,306.6268405587225,2200.1202593567136,-61.854875092806424
35,-467.47205695741184,-2044.9605989263691,62.035240047868,-2169.982199160807,1750.0,294.96059892636913,2169.982199160807,-62.035240047868
36,-481.5616300033134,-2072.199481513572,67.9511744505096,-2146.0440616706933,1750.0,322.1994815135722,2146.0440616706933,-67.9511744505096
37,-500.69785164554514,-2105.50025636681,80.88559395557127,-2140.2637501421073,1750.0,355.50025636680994,2140.2637501421073,-80.88559395557127
38,-521.5627824250446,-2155.089998081937,89.32657390717554,-2149.9306026405434,1750.0,405.0899980819372,2149.9306026405434,-89.32657390717554
39,-516.7321369376995,-2080.918273357935,70.30565471557702,-2195.2213801431453,1750.0,330.91827335793505,2195.2213801431453,-70.30565471557702
40,-538.404995828558,-2049.082033938684,63.94364031868736,-2235.4668144728953,1750.0,299.08203393868416,2235.4668144728953,-63.94364031868736
41,-587.4026806242714,-2052.6340499222024,68.86495196878195,-2267.319080444538,1750.0,302.6340499222024,2267.319080444538,-68.86495196878195
42,-609.4051007565647,-2048.5754591445434,67.94691271025022,-2276.465854495564,1750.0,298.5754591445434,2276.465854495564,-67.94691271025022
43,-571.2821031685883,-2055.1800258288845,70.32283917045652,-2262.759613204558,1750.0,305.1800258288845,2262.759613204558,-70.32283917045652
44,-526.89197584174,-2060.9437298811595,72.95447507402287,-2229.161998862566,1750.0,310.94372988115947,2229.161998862566,-72.95447507402287
45,-481.5203262886896,-2074.8157867694376,77.0500190820635,-2160.874097117589,1750.0,324.81578676943764,2160.874097117589,-77.0500190820635
46,-555.7282186031698,-2081.9858223242304,79.31037941342652,-2035.4258560853186,1750.0,331.9858223242304,2035.4258560853186,-79.31037941342652
47,-522.220983471137,-2070.949613204522,75.94117685573542,-1840.494678322037,1750.0,320.94961320452194,1840.494678322037,-75.94117685573542
48,-462.3014564193528,-2054.4077409906486,71.36817930235497,-1675.6805290162606,1750.0,304.40774099064856,1675.6805290162606,-71.36817930235497
49,-499.55011111792794,-2059.4999337896325,68.18843391941778,-1734.3528104424045,1750.0,309.49993378963245,1734.3528104424045,-68.18843391941778
50,-524.8648893362098,-2058.0222226670785,72.51618398045207,-1788.5260422756883,1750.0,308.0222226670785,1788.5260422756883,-72.51618398045207
51,-542.6560347978409,-2047.8795439189062,71.91454503248337,-1827.8044257919469,1750.0,297.87954391890617,1827.8044257919469,-71.91454503248337
52,-556.3145098046796,-1998.0179363019856,62.132459920212796,-1857.3206531809865,1750.0,248.01793630198563,1857.3206531809865,-62.132459920212796
53,-582.5960176545327,-1946.299041670506,50.67977947275472,-1908.854763082719,1750.0,196.29904167050609,1908.854763082719,-50.67977947275472
54,-639.1107291512072,-1920.0390120186507,41.91017038309724,-2013.0089185225133,1750.0,170.03901201865074,2013.0089185225133,-41.91017038309724
55,-767.238686119889,-1916.038018179157,41.30707688485518,-2176.7993635234434,1750.0,166.038018179157,2176.7993635234434,-41.30707688485518
56,-844.0943871272225,-1983.0097758372613,57.46295738065919,-2245.252618714856,1750.0,233.00977583726126,2245.252618714856,-57.46295738065919
57,-892.2394851607319,-2052.8084318045276,73.40143967970675,-2292.0010321305485,1750.0,302.8084318045276,2292.0010321305485,-73.40143967970675
58,-925.9163538577277,-2063.227033875696,74.25355380416386,-2318.62942057191,1750.0,313.2270338756962,2318.62942057191,-74.25355380416386
59,-912.9929196372793,-2012.0336065972147,56.870073253358896,-2311.841870701699,1750.0,262.03360659721466,2311.841870701699,-56.870073253358896
60,-866.5636912996672,-1944.200502101502,20.86770294325379,-2276.2658189704716,1750.0,194.20050210150202,2276.2658189704716,-20.86770294325379
61,-795.6834195881592,-1906.0839506027278,-2.63945461092635,-2225.838663247112,1750.0,156.08395060272778,2225.838663247112,2.63945461092635
62,-683.4141512002435,-1901.8142535441816,-7.628370479914793,-2155.981209265482,1750.0,151.8142535441816,2155.981209265482,7.628370479914793
63,-645.8110285152123,-1931.6623084789321,14.605092177449023,-2127.3875272537875,1750.0,181.66230847893212,2127.3875272537875,-14.605092177449023
64,-775.0491257415418,-1890.728898844462,-43.442859934932585,-2329.10590557742,1750.0,140.72889884446204,2329.10590557742,43.442859934932585
65,-603.4832730085485,-1985.6915011934689,58.11027328762498,-2394.1915922514368,1750.0,235.69150119346887,2394.1915922514368,-58.11027328762498
66,-575.8354182215669,-2004.6031763906817,58.61909959804416,-2399.1354392696358,1750.0,254.6031763906817,2399.1354392696358,-58.61909959804416
67,-493.39999116137983,-1981.8179256827052,55.32394929115139,-2398.0892549460923,1750.0,231.8179256827052,2398.0892549460923,-55.32394929115139
68,-472.3757392288031,-2009.4519056894933,66.15677850510656,-2391.6137883239785,1750.0,259.4519056894933,2391.6137883239785,-66.15677850510656
69,-469.0564620462373,-2016.6381639828323,66.57769953405796,-2347.5251720344772,1750.0,266.63816398283234,2347.5251720344772,-66.57769953405796
70,-489.4224553551928,-1994.8418594932264,59.99605132533293,-2304.7137139768333,1750.0,244.84185949322637,2304.7137139768333,-59.99605132533293
71,-440.1067207590211,-2022.8162071447714,67.04531929470568,-2211.019753024899,1750.0,272.8162071447714,2211.019753024899,-67.04531929470568
72,-415.81034888595616,-2034.4263683404029,67.9974503504518,-1965.2934925354946,1750.0,284.42636834040286,1965.2934925354946,-67.9974503504518
73,-388.3239519176944,-2035.0427449263861,66.76582683968672,-1735.0079344486335,1750.0,285.04274492638615,1735.0079344486335,-66.76582683968672
74,-361.2009430429954,-2017.5918399767315,63.920979656036025,-1570.997172547949,1750.0,267.59183997673153,1570.997172547949,-63.920979656036025
75,-345.2201757429568,-2005.1015472684749,61.25242003494327,-1443.6791707390182,1750.0,255.10154726847486,1443.6791707390182,-61.25242003494327
76,-342.48750383472424,-1997.2378262494594,58.281917253408665,-1399.5676492297468,1750.0,247.23782624945943,1399.5676492297468,-58.281917253408665
77,-342.7095614810913,-1992.6655961603324,56.57032220420592,-1367.9718650823932,1750.0,242.66559616033237,1367.9718650823932,-56.57032220420592
78,-352.13762575020763,-1995.129312024932,56.54582599228684,-1401.551832415966,1750.0,245.129312024932,1401.551832415966,-56.54582599228684
79,-390.3566320186932,-1995.9198175506435,58.34972534960548,-1562.8050459681438,1750.0,245.91981755064353,1562.8050459681438,-58.34972534960548
