name,bus0,bus1,carrier,p_nom,marginal_cost,p_min_pu,build_year,p_nom_opt
BritNed,Netherlands,Kemsley,DC,1750.0,20.0,-1.0,0,1750.0
EastWest,Ireland,Deeside,DC,1050.0,7.0,-1.0,0,1050.0
Moyle,N. Ireland,Neilston,DC,1050.0,7.0,-1.0,0,1050.0
Nemo,Belgium,Sellindge,DC,1750.0,20.0,-1.0,0,1750.0
IFA,France1,Sellindge,DC,3500.0,15.0,-1.0,0,3500.0
IFA2,France2,Lovedean,DC,1750.0,15.0,-1.0,0,1750.0
NSL,Norway,Stella West,DC,2450.0,1.0,-1.0,0,2450.0
ElecLink,France1,Sellindge,DC,1750.0,15.0,-1.0,0,1750.0
Viking Link,Denmark,Walpole,DC,2450.0,7.0,-1.0,0,2450.0
Greenlink,Ireland2,Melksham,DC,875.0,7.0,-1.0,0,875.0
GridLink,France1,Kemsley,DC,2450.0,15.0,-1.0,0,2450.0
NeuConnect,Germany,Kemsley,DC,2450.0,20.0,-1.0,0,2450.0
NorthConnect,Norway,Peterhead,DC,2450.0,1.0,-1.0,0,2450.0
FAB Link,France2,S.W.Penisula,DC,2450.0,15.0,-1.0,0,2450.0
