name,bus0,bus1,r,x,b,s_nom,s_max_pu,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
0,Beauly,Peterhead,0.0122,0.02,0.0856,525.0,4.0,0,AC,2.6446280991735537e-07,1.6132231404958679e-07,525.0,275.0
1,Beauly,Errochty,0.007,0.15,0.052,132.0,4.0,0,AC,1.9834710743801654e-06,9.256198347107438e-08,132.0,275.0
2,Beauly,Peterhead,0.0122,0.02,0.2844,525.0,4.0,0,AC,2.6446280991735537e-07,1.6132231404958679e-07,525.0,275.0
3,Beauly,Errochty,0.007,0.15,0.052,132.0,4.0,0,AC,1.9834710743801654e-06,9.256198347107438e-08,132.0,275.0
4,Peterhead,Denny/Bonnybridge,0.0004,0.065,0.4454,760.0,4.0,0,AC,8.59504132231405e-07,5.289256198347108e-09,760.0,275.0
5,Peterhead,Denny/Bonnybridge,0.0004,0.065,0.5545,760.0,4.0,0,AC,8.59504132231405e-07,5.289256198347108e-09,760.0,275.0
6,Errochty,Denny/Bonnybridge,0.003,0.041,0.0044,648.0,4.0,0,AC,5.421487603305786e-07,3.9669421487603305e-08,648.0,275.0
7,Errochty,Denny/Bonnybridge,0.003,0.041,0.044,648.0,4.0,0,AC,5.421487603305786e-07,3.9669421487603305e-08,648.0,275.0
8,Denny/Bonnybridge,Torness,0.00211,0.0135,0.1174,1090.0,4.0,0,AC,1.7851239669421487e-07,2.790082644628099e-08,1090.0,275.0
9,Denny/Bonnybridge,Strathaven,0.0013,0.023,0.1496,1500.0,4.0,0,AC,3.041322314049587e-07,1.7190082644628098e-08,1500.0,275.0
10,Denny/Bonnybridge,Strathaven,0.0013,0.023,0.1758,1120.0,4.0,0,AC,3.041322314049587e-07,1.7190082644628098e-08,1120.0,275.0
11,Denny/Bonnybridge,Neilston,0.001,0.024,0.125,1000.0,4.0,0,AC,3.1735537190082644e-07,1.3223140495867768e-08,1000.0,275.0
12,Denny/Bonnybridge,Neilston,0.001,0.024,0.125,1000.0,4.0,0,AC,3.1735537190082644e-07,1.3223140495867768e-08,1000.0,275.0
13,Denny/Bonnybridge,Torness,0.0021,0.0135,0.1538,1090.0,4.0,0,AC,1.7851239669421487e-07,2.7768595041322312e-08,1090.0,275.0
14,Neilston,Strathaven,0.00085,0.01051,0.38254,1390.0,4.0,0,AC,6.56875e-08,5.3125e-09,1390.0,400.0
15,Neilston,Strathaven,0.00151,0.01613,0.59296,1390.0,4.0,0,AC,1.0081249999999999e-07,9.437500000000001e-09,1390.0,400.0
16,Neilston,Deeside,0.0,0.0001,0.0,2200.0,4.0,0,AC,6.25e-10,0.0,2200.0,400.0
17,Strathaven,Harker,0.00078,0.00852,0.0737,2100.0,4.0,0,AC,5.325e-08,4.875e-09,2100.0,400.0
18,Strathaven,Harker,0.00078,0.00852,0.4635,2100.0,4.0,0,AC,5.325e-08,4.875e-09,2100.0,400.0
19,Torness,Eccles,0.0004,0.0001,0.728,2180.0,4.0,0,AC,6.25e-10,2.5e-09,2180.0,400.0
20,Torness,Eccles,0.0004,0.0001,1.2872,2500.0,4.0,0,AC,6.25e-10,2.5e-09,2500.0,400.0
21,Torness,Strathaven,0.003,0.2,0.2939,950.0,4.0,0,AC,1.25e-06,1.875e-08,950.0,400.0
22,Torness,Strathaven,0.003,0.2,0.2939,950.0,4.0,0,AC,1.25e-06,1.875e-08,950.0,400.0
23,Eccles,Stella West,0.00083,0.0175,0.6624,3070.0,4.0,0,AC,1.0937500000000001e-07,5.1875e-09,3070.0,400.0
24,Eccles,Stella West,0.00083,0.0175,0.6624,3070.0,4.0,0,AC,1.0937500000000001e-07,5.1875e-09,3070.0,400.0
25,Harker,Penwortham,0.00164,0.0163,0.4868,1390.0,4.0,0,AC,1.0187499999999999e-07,1.0249999999999999e-08,1390.0,400.0
26,Harker,Penwortham,0.00164,0.0163,0.4868,1390.0,4.0,0,AC,1.0187499999999999e-07,1.0249999999999999e-08,1390.0,400.0
27,Harker,Stella West,0.00352,0.02453,0.1898,855.0,4.0,0,AC,1.533125e-07,2.2000000000000002e-08,855.0,400.0
28,Harker,Stella West,0.00492,0.0343,0.2502,775.0,4.0,0,AC,2.1437499999999999e-07,3.075e-08,775.0,400.0
29,Stella West,Thornton/Drax/Eggborough,0.00053,0.00835,5.373,4840.0,4.0,0,AC,5.2187499999999997e-08,3.3125e-09,4840.0,400.0
30,Stella West,Thornton/Drax/Eggborough,0.00052,0.0063,1.0636,4020.0,4.0,0,AC,3.9375e-08,3.2499999999999997e-09,4020.0,400.0
31,Penwortham,Thornton/Drax/Eggborough,0.0007,0.042,0.3907,2520.0,4.0,0,AC,2.6250000000000003e-07,4.375e-09,2520.0,400.0
32,Penwortham,Thornton/Drax/Eggborough,0.00099,0.042,0.5738,2520.0,4.0,0,AC,2.6250000000000003e-07,6.1875e-09,2520.0,400.0
33,Penwortham,Daines,0.0004,0.0052,0.2498,2170.0,4.0,0,AC,3.25e-08,2.5e-09,2170.0,400.0
34,Penwortham,Daines,0.0004,0.0052,0.2664,2210.0,4.0,0,AC,3.25e-08,2.5e-09,2210.0,400.0
35,Penwortham,Deeside,0.0001,0.0085,0.0798,3320.0,4.0,0,AC,5.3125e-08,6.25e-10,3320.0,400.0
36,Penwortham,Deeside,0.0001,0.0085,0.0798,3320.0,4.0,0,AC,5.3125e-08,6.25e-10,3320.0,400.0
37,Deeside,Daines,0.00096,0.01078,0.385,3100.0,4.0,0,AC,6.737499999999999e-08,6e-09,3100.0,400.0
38,Deeside,Feckenham,0.00074,0.009,0.2911,2400.0,4.0,0,AC,5.625e-08,4.625e-09,2400.0,400.0
39,Deeside,Feckenham,0.00097,0.009,0.3835,2400.0,4.0,0,AC,5.625e-08,6.0625000000000005e-09,2400.0,400.0
40,Deeside,Daines,0.00096,0.01078,0.385,3100.0,4.0,0,AC,6.737499999999999e-08,6e-09,3100.0,400.0
41,Daines,Feckenham,0.00049,0.007,0.1943,2400.0,4.0,0,AC,4.375e-08,3.0624999999999997e-09,2400.0,400.0
42,Daines,Feckenham,0.00084,0.007,0.7759,2400.0,4.0,0,AC,4.375e-08,5.25e-09,2400.0,400.0
43,Daines,Thornton/Drax/Eggborough,0.00137,0.023,0.6643,1240.0,4.0,0,AC,1.4375e-07,8.5625e-09,1240.0,400.0
44,Daines,Thornton/Drax/Eggborough,0.00164,0.023,0.1104,955.0,4.0,0,AC,1.4375e-07,1.0249999999999999e-08,955.0,400.0
45,Daines,Th. Marsh/Stocksbridge,0.00107,0.01163,1.1745,1040.0,4.0,0,AC,7.26875e-08,6.6875e-09,1040.0,400.0
