,Values
01/01/2019 00:00,1.61E+02
01/01/2019 01:00,1.83E+02
01/01/2019 02:00,2.00E+02
01/01/2019 03:00,2.27E+02
01/01/2019 04:00,2.54E+02
01/01/2019 05:00,2.81E+02
01/01/2019 06:00,3.05E+02
01/01/2019 07:00,1.77E+02
01/01/2019 08:00,2.00E+02
01/01/2019 09:00,2.24E+02
01/01/2019 10:00,2.47E+02
01/01/2019 11:00,2.69E+02
01/01/2019 12:00,2.90E+02
01/01/2019 13:00,3.02E+02
01/01/2019 14:00,3.02E+02
01/01/2019 15:00,3.03E+02
01/01/2019 16:00,3.13E+02
01/01/2019 17:00,3.39E+02
01/01/2019 18:00,3.68E+02
01/01/2019 19:00,3.91E+02
01/01/2019 20:00,4.09E+02
01/01/2019 21:00,4.23E+02
01/01/2019 22:00,4.24E+02
01/01/2019 23:00,4.04E+02
02/01/2019 00:00,3.61E+02
02/01/2019 01:00,3.12E+02
02/01/2019 02:00,2.66E+02
02/01/2019 03:00,2.26E+02
02/01/2019 04:00,1.91E+02
02/01/2019 05:00,1.66E+02
02/01/2019 06:00,1.61E+02
02/01/2019 07:00,1.77E+02
02/01/2019 08:00,2.00E+02
02/01/2019 09:00,2.24E+02
02/01/2019 10:00,2.47E+02
02/01/2019 11:00,2.69E+02
02/01/2019 12:00,2.90E+02
02/01/2019 13:00,3.02E+02
02/01/2019 14:00,3.02E+02
02/01/2019 15:00,3.03E+02
02/01/2019 16:00,3.13E+02
02/01/2019 17:00,3.39E+02
02/01/2019 18:00,3.68E+02
02/01/2019 19:00,3.91E+02
02/01/2019 20:00,4.09E+02
02/01/2019 21:00,4.23E+02
02/01/2019 22:00,4.24E+02
02/01/2019 23:00,4.04E+02
03/01/2019 00:00,3.61E+02
03/01/2019 01:00,3.12E+02
03/01/2019 02:00,2.66E+02
03/01/2019 03:00,2.26E+02
03/01/2019 04:00,1.91E+02
03/01/2019 05:00,1.66E+02
03/01/2019 06:00,1.61E+02
03/01/2019 07:00,1.77E+02
03/01/2019 08:00,2.00E+02
03/01/2019 09:00,2.24E+02
03/01/2019 10:00,2.47E+02
03/01/2019 11:00,2.69E+02
03/01/2019 12:00,2.90E+02
03/01/2019 13:00,3.02E+02
03/01/2019 14:00,3.02E+02
