,Values
01/01/2019 00:00,4.30E+02
01/01/2019 01:00,4.16E+02
01/01/2019 02:00,5.47E+02
01/01/2019 03:00,7.32E+02
01/01/2019 04:00,5.49E+02
01/01/2019 05:00,6.68E+02
01/01/2019 06:00,7.75E+02
01/01/2019 07:00,1.33E+03
01/01/2019 08:00,1.58E+03
01/01/2019 09:00,1.51E+03
01/01/2019 10:00,1.40E+03
01/01/2019 11:00,8.44E+02
01/01/2019 12:00,5.76E+02
01/01/2019 13:00,6.26E+02
01/01/2019 14:00,7.20E+02
01/01/2019 15:00,7.91E+02
01/01/2019 16:00,1.32E+03
01/01/2019 17:00,1.57E+03
01/01/2019 18:00,1.71E+03
01/01/2019 19:00,1.75E+03
01/01/2019 20:00,1.29E+03
01/01/2019 21:00,1.05E+03
01/01/2019 22:00,8.94E+02
01/01/2019 23:00,6.99E+02
02/01/2019 00:00,5.55E+02
02/01/2019 01:00,4.73E+02
02/01/2019 02:00,4.44E+02
02/01/2019 03:00,5.88E+02
02/01/2019 04:00,7.54E+02
02/01/2019 05:00,8.91E+02
02/01/2019 06:00,1.00E+03
02/01/2019 07:00,1.55E+03
02/01/2019 08:00,1.79E+03
02/01/2019 09:00,1.64E+03
02/01/2019 10:00,1.52E+03
02/01/2019 11:00,9.56E+02
02/01/2019 12:00,6.93E+02
02/01/2019 13:00,8.29E+02
02/01/2019 14:00,9.33E+02
02/01/2019 15:00,1.00E+03
02/01/2019 16:00,1.53E+03
02/01/2019 17:00,1.78E+03
02/01/2019 18:00,1.92E+03
02/01/2019 19:00,1.96E+03
02/01/2019 20:00,1.48E+03
02/01/2019 21:00,1.24E+03
02/01/2019 22:00,1.08E+03
02/01/2019 23:00,8.38E+02
03/01/2019 00:00,6.46E+02
03/01/2019 01:00,5.18E+02
03/01/2019 02:00,4.44E+02
03/01/2019 03:00,5.88E+02
03/01/2019 04:00,7.54E+02
03/01/2019 05:00,8.91E+02
03/01/2019 06:00,1.00E+03
03/01/2019 07:00,1.55E+03
03/01/2019 08:00,1.79E+03
03/01/2019 09:00,1.64E+03
03/01/2019 10:00,1.52E+03
03/01/2019 11:00,9.56E+02
03/01/2019 12:00,6.93E+02
03/01/2019 13:00,8.29E+02
03/01/2019 14:00,9.33E+02
03/01/2019 15:00,1.00E+03
03/01/2019 16:00,1.53E+03
03/01/2019 17:00,1.78E+03
03/01/2019 18:00,1.92E+03
03/01/2019 19:00,1.96E+03
03/01/2019 20:00,1.48E+03
03/01/2019 21:00,1.24E+03
03/01/2019 22:00,1.08E+03
03/01/2019 23:00,8.38E+02
04/01/2019 00:00,6.34E+02
04/01/2019 01:00,4.68E+02
04/01/2019 02:00,3.45E+02
04/01/2019 03:00,4.30E+02
04/01/2019 04:00,5.49E+02
04/01/2019 05:00,6.68E+02
04/01/2019 06:00,7.75E+02
04/01/2019 07:00,1.33E+03
04/01/2019 08:00,1.58E+03
04/01/2019 09:00,1.51E+03
04/01/2019 10:00,1.40E+03
04/01/2019 11:00,8.44E+02
04/01/2019 12:00,5.76E+02
04/01/2019 13:00,6.26E+02
04/01/2019 14:00,7.20E+02
04/01/2019 15:00,7.91E+02
04/01/2019 16:00,1.32E+03
04/01/2019 17:00,1.57E+03
04/01/2019 18:00,1.71E+03
