,cop,duty
01/01/2019 00:00,2.746920892,430.2471495
01/01/2019 01:00,2.668804498,413.3195055
01/01/2019 02:00,2.330967216,396.746827
01/01/2019 03:00,2.280606336,385.3010255
01/01/2019 04:00,2.248645017,378.1748452
01/01/2019 05:00,2.231939772,374.4931091
01/01/2019 06:00,2.219560413,371.7838624
01/01/2019 07:00,2.208361997,369.3471091
01/01/2019 08:00,2.197757275,367.0518707
01/01/2019 09:00,2.225790477,373.1452892
01/01/2019 10:00,2.271412797,383.2401945
01/01/2019 11:00,2.302166537,390.1687308
01/01/2019 12:00,2.318664676,393.926356
01/01/2019 13:00,2.315169764,393.1279854
01/01/2019 14:00,2.276617498,384.4057941
01/01/2019 15:00,2.204853986,368.5865221
01/01/2019 16:00,2.164911486,360.0192842
01/01/2019 17:00,2.140829288,354.9368385
01/01/2019 18:00,2.118574808,350.2959508
01/01/2019 19:00,2.097517689,345.9543854
01/01/2019 20:00,2.082533092,342.8943745
01/01/2019 21:00,2.071657282,340.688849
01/01/2019 22:00,2.063764572,339.0964188
01/01/2019 23:00,2.058560485,338.0501995
02/01/2019 00:00,2.058725662,338.0833604
02/01/2019 01:00,2.062277478,338.7971515
02/01/2019 02:00,2.068846763,340.1210133
02/01/2019 03:00,2.072153319,340.7891582
02/01/2019 04:00,2.073682885,341.0986396
02/01/2019 05:00,2.073269471,341.014967
02/01/2019 06:00,2.072773392,340.9145883
02/01/2019 07:00,2.073517518,341.065168
02/01/2019 08:00,2.07314545,340.9898694
02/01/2019 09:00,2.095446969,345.5300587
02/01/2019 10:00,2.131648897,353.015871
02/01/2019 11:00,2.150348765,356.9383968
02/01/2019 12:00,2.160374514,359.0569902
02/01/2019 13:00,2.158751573,358.7133022
02/01/2019 14:00,2.124715932,351.5712304
02/01/2019 15:00,2.080092481,342.3983078
02/01/2019 16:00,2.066821913,339.7124526
02/01/2019 17:00,2.058188845,337.9755999
02/01/2019 18:00,2.05100588,336.5367559
02/01/2019 19:00,2.050097972,336.3552957
