bus_code,bus_name,lat,lon,voltage_kv,source,confidence
KINT,Kintore,57.213,-2.374,400,fes2021_gsp_info,high
KINT,Kintore,57.213,-2.374,275,fes2021_gsp_info,high
KINT,Kintore,57.213,-2.374,132,fes2021_gsp_info,high
CASS,Cassley,56.542,-4.517,132,fes2021_gsp_info,high
FOYE,Foyers,57.2618,-4.4835,275,web_research_pumped_storage,high
TORN,Torness,55.968,-2.409,400,web_research_nuclear_station,high
TORN,Torness,55.968,-2.409,132,web_research_nuclear_station,high
TEAL,Tealing,56.53357,-2.96305,275,web_research_village_center,medium
TEAL,Tealing,56.53357,-2.96305,132,web_research_village_center,medium
TUMM,Tummel Bridge,56.72,-3.94,400,web_research_power_station,medium
TUMM,Tummel Bridge,56.72,-3.94,275,web_research_power_station,medium
TUMM,Tummel Bridge,56.72,-3.94,132,web_research_power_station,medium
ERRO,Errochty,56.79,-4.07,132,os_grid_conversion_approximate,low
